GENE,Gt_node,Lt_node,Lt_paralog
0001,'10_0_0','10_0',0
0001,'11_0_0','11_0',0
0001,2,15,0
0001,'13_0_0','13_0',0
0001,4,17,0
0001,'7_0_0','7_0',0
0001,'14_0_0','14_0',0
0001,7,20,0
0001,'9_0_0','9_0',0
0001,9,22,0
0001,'16_0_0','16_0',0
0001,11,24,0
0001,'17_0_0','17_0',0
0001,'1_0_0','1_0',0
0001,14,27,0
0001,'4_0_0','4_0',0
0001,16,29,0
0001,17,30,0
0001,18,31,0
0001,'2_0_0','2_0',0
0001,'6_0_0','6_0',0
0001,'15_0_0','15_0',0
0001,22,3,0
0001,23,5,0
0001,'5_0_0','5_0',0
0001,'8_0_0','8_0',0
0001,'12_0_0','12_0',0
0001,27,9,0
0001,28,10,0
0001,29,11,0
0001,'3_0_0','3_0',0
0001,31,12,0
0001,32,32,0
0001,'20_0_0','20_0',0
0001,'23_0_0','23_0',0
0001,'21_0_0','21_0',0
0001,36,35,0
0001,37,37,0
0001,'25_0_0','25_0',0
0001,'18_0_0','18_0',0
0001,'19_0_0','19_0',0
0001,41,42,0
0001,42,43,0
0001,'22_0_0','22_0',0
0001,44,44,0
0001,'24_0_0','24_0',0
0001,46,46,0
0001,47,47,0
0001,48,48,0
0002,'24_0_0','24_0',0
0002,'18_0_0','18_0',0
0002,'19_0_0','19_0',0
0002,3,42,0
0002,'25_0_0','25_0',0
0002,5,43,0
0002,'22_0_0','22_0',0
0002,7,44,0
0002,8,46,0
0002,'23_0_0','23_0',0
0002,'21_0_0','21_0',0
0002,11,35,0
0002,'20_0_0','20_0',0
0002,13,37,0
0002,14,47,0
0002,'2_0_0','2_0',0
0002,'15_0_0','15_0',0
0002,'6_0_0','6_0',0
0002,18,3,0
0002,19,5,0
0002,'8_0_0','8_0',0
0002,'12_0_0','12_0',0
0002,22,9,0
0002,'5_0_0','5_0',0
0002,24,10,0
0002,25,11,0
0002,'3_0_0','3_0',0
0002,27,12,0
0002,'13_0_0','13_0',0
0002,'11_0_0','11_0',0
0002,'10_0_0','10_0',0
0002,31,15,0
0002,32,17,0
0002,'4_0_0','4_0',0
0002,'1_0_0','1_0',0
0002,'17_0_0','17_0',0
0002,36,27,0
0002,37,29,0
0002,'16_0_0','16_0',0
0002,'7_0_0','7_0',0
0002,'14_0_0','14_0',0
0002,41,20,0
0002,'9_0_0','9_0',0
0002,43,22,0
0002,44,24,0
0002,45,30,0
0002,46,31,0
0002,47,32,0
0002,48,48,0
0003,'2_0_0','2_0',0
0003,'15_0_0','15_0',0
0003,'6_0_0','6_0',0
0003,3,3,0
0003,4,5,0
0003,'8_0_0','8_0',0
0003,'12_0_0','12_0',0
0003,7,9,0
0003,'5_0_0','5_0',0
0003,9,10,0
0003,10,11,0
0003,'3_0_0','3_0',0
0003,12,12,0
0003,'17_0_0','17_0',0
0003,'1_0_0','1_0',0
0003,15,27,0
0003,'4_0_0','4_0',0
0003,17,29,0
0003,'7_0_0','7_0',0
0003,'14_0_0','14_0',0
0003,20,20,0
0003,'9_0_0','9_0',0
0003,22,22,0
0003,'16_0_0','16_0',0
0003,24,24,0
0003,25,30,0
0003,'13_0_0','13_0',0
0003,'11_0_0','11_0',0
0003,'10_0_0','10_0',0
0003,29,15,0
0003,30,17,0
0003,31,31,0
0003,32,32,0
0003,'20_0_0','20_0',0
0003,'23_0_0','23_0',0
0003,'21_0_0','21_0',0
0003,36,35,0
0003,37,37,0
0003,'24_0_0','24_0',0
0003,'22_0_0','22_0',0
0003,'19_0_0','19_0',0
0003,'18_0_0','18_0',0
0003,42,42,0
0003,'25_0_0','25_0',0
0003,44,43,0
0003,45,44,0
0003,46,46,0
0003,47,47,0
0003,48,48,0
0004,'7_0_0','7_0',0
0004,'14_0_0','14_0',0
0004,2,20,0
0004,'9_0_0','9_0',0
0004,4,22,0
0004,'16_0_0','16_0',0
0004,6,24,0
0004,'4_0_0','4_0',0
0004,'1_0_0','1_0',0
0004,'17_0_0','17_0',0
0004,10,27,0
0004,11,29,0
0004,12,30,0
0004,'10_0_0','10_0',0
0004,'11_0_0','11_0',0
0004,15,15,0
0004,'13_0_0','13_0',0
0004,17,17,0
0004,18,31,0
0004,'5_0_0','5_0',0
0004,'8_0_0','8_0',0
0004,'12_0_0','12_0',0
0004,22,9,0
0004,23,10,0
0004,'2_0_0','2_0',0
0004,'6_0_0','6_0',0
0004,'15_0_0','15_0',0
0004,27,3,0
0004,28,5,0
0004,29,11,0
0004,'3_0_0','3_0',0
0004,31,12,0
0004,32,32,0
0004,'20_0_0','20_0',0
0004,'23_0_0','23_0',0
0004,'21_0_0','21_0',0
0004,36,35,0
0004,37,37,0
0004,'22_0_0','22_0',0
0004,'25_0_0','25_0',0
0004,'19_0_0','19_0',0
0004,'18_0_0','18_0',0
0004,42,42,0
0004,43,43,0
0004,44,44,0
0004,'24_0_0','24_0',0
0004,46,46,0
0004,47,47,0
0004,48,48,0
0005,'16_0_0','16_0',0
0005,'9_0_0','9_0',0
0005,'7_0_0','7_0',0
0005,'14_0_0','14_0',0
0005,4,20,0
0005,5,22,0
0005,6,24,0
0005,'4_0_0','4_0',0
0005,'1_0_0','1_0',0
0005,'17_0_0','17_0',0
0005,10,27,0
0005,11,29,0
0005,12,30,0
0005,'11_0_0','11_0',0
0005,'10_0_0','10_0',0
0005,15,15,0
0005,'13_0_0','13_0',0
0005,17,17,0
0005,18,31,0
0005,'3_0_0','3_0',0
0005,'15_0_0','15_0',0
0005,'6_0_0','6_0',0
0005,22,3,0
0005,'2_0_0','2_0',0
0005,24,5,0
0005,'12_0_0','12_0',0
0005,'8_0_0','8_0',0
0005,27,9,0
0005,'5_0_0','5_0',0
0005,29,10,0
0005,30,11,0
0005,31,12,0
0005,32,32,0
0005,'25_0_0','25_0',0
0005,'19_0_0','19_0',0
0005,'18_0_0','18_0',0
0005,36,42,0
0005,37,43,0
0005,'22_0_0','22_0',0
0005,39,44,0
0005,'24_0_0','24_0',0
0005,41,46,0
0005,'21_0_0','21_0',0
0005,'23_0_0','23_0',0
0005,44,35,0
0005,'20_0_0','20_0',0
0005,46,37,0
0005,47,47,0
0005,48,48,0
0006,'24_0_0','24_0',0
0006,'19_0_0','19_0',0
0006,'18_0_0','18_0',0
0006,3,42,0
0006,'25_0_0','25_0',0
0006,5,43,0
0006,'22_0_0','22_0',0
0006,7,44,0
0006,8,46,0
0006,'20_0_0','20_0',0
0006,'21_0_0','21_0',0
0006,'23_0_0','23_0',0
0006,12,35,0
0006,13,37,0
0006,14,47,0
0006,'12_0_0','12_0',0
0006,'8_0_0','8_0',0
0006,17,9,0
0006,'5_0_0','5_0',0
0006,19,10,0
0006,'2_0_0','2_0',0
0006,'6_0_0','6_0',0
0006,'15_0_0','15_0',0
0006,23,3,0
0006,24,5,0
0006,25,11,0
0006,'3_0_0','3_0',0
0006,27,12,0
0006,'9_0_0','9_0',0
0006,'7_0_0','7_0',0
0006,'14_0_0','14_0',0
0006,31,20,0
0006,32,22,0
0006,'16_0_0','16_0',0
0006,34,24,0
0006,'4_0_0','4_0',0
0006,'1_0_0','1_0',0
0006,'17_0_0','17_0',0
0006,38,27,0
0006,39,29,0
0006,40,30,0
0006,'13_0_0','13_0',0
0006,'11_0_0','11_0',0
0006,'10_0_0','10_0',0
0006,44,15,0
0006,45,17,0
0006,46,31,0
0006,47,32,0
0006,48,48,0
0007,'23_0_0','23_0',0
0007,'21_0_0','21_0',0
0007,2,35,0
0007,'20_0_0','20_0',0
0007,4,37,0
0007,'24_0_0','24_0',0
0007,'25_0_0','25_0',0
0007,'19_0_0','19_0',0
0007,'18_0_0','18_0',0
0007,9,42,0
0007,10,43,0
0007,'22_0_0','22_0',0
0007,12,44,0
0007,13,46,0
0007,14,47,0
0007,'10_0_0','10_0',0
0007,'11_0_0','11_0',0
0007,17,15,0
0007,'13_0_0','13_0',0
0007,19,17,0
0007,'17_0_0','17_0',0
0007,'1_0_0','1_0',0
0007,22,27,0
0007,'4_0_0','4_0',0
0007,24,29,0
0007,'9_0_0','9_0',0
0007,'7_0_0','7_0',0
0007,'14_0_0','14_0',0
0007,28,20,0
0007,29,22,0
0007,'16_0_0','16_0',0
0007,31,24,0
0007,32,30,0
0007,33,31,0
0007,'3_0_0','3_0',0
0007,'15_0_0','15_0',0
0007,'6_0_0','6_0',0
0007,37,3,0
0007,'2_0_0','2_0',0
0007,39,5,0
0007,'5_0_0','5_0',0
0007,'12_0_0','12_0',0
0007,'8_0_0','8_0',0
0007,43,9,0
0007,44,10,0
0007,45,11,0
0007,46,12,0
0007,47,32,0
0007,48,48,0
0008,'20_0_0','20_0',0
0008,'21_0_0','21_0',0
0008,'23_0_0','23_0',0
0008,3,35,0
0008,4,37,0
0008,'24_0_0','24_0',0
0008,'22_0_0','22_0',0
0008,'19_0_0','19_0',0
0008,'18_0_0','18_0',0
0008,9,42,0
0008,'25_0_0','25_0',0
0008,11,43,0
0008,12,44,0
0008,13,46,0
0008,14,47,0
0008,'17_0_0','17_0',0
0008,'1_0_0','1_0',0
0008,17,27,0
0008,'4_0_0','4_0',0
0008,19,29,0
0008,'7_0_0','7_0',0
0008,'14_0_0','14_0',0
0008,22,20,0
0008,'9_0_0','9_0',0
0008,24,22,0
0008,'16_0_0','16_0',0
0008,26,24,0
0008,27,30,0
0008,'13_0_0','13_0',0
0008,'11_0_0','11_0',0
0008,'10_0_0','10_0',0
0008,31,15,0
0008,32,17,0
0008,33,31,0
0008,'6_0_0','6_0',0
0008,'15_0_0','15_0',0
0008,36,3,0
0008,'2_0_0','2_0',0
0008,38,5,0
0008,'5_0_0','5_0',0
0008,'12_0_0','12_0',0
0008,'8_0_0','8_0',0
0008,42,9,0
0008,43,10,0
0008,44,11,0
0008,'3_0_0','3_0',0
0008,46,12,0
0008,47,32,0
0008,48,48,0
0009,'3_0_0','3_0',0
0009,'15_0_0','15_0',0
0009,'6_0_0','6_0',0
0009,3,3,0
0009,'2_0_0','2_0',0
0009,5,5,0
0009,'12_0_0','12_0',0
0009,'8_0_0','8_0',0
0009,8,9,0
0009,'5_0_0','5_0',0
0009,10,10,0
