GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0121,"14_1_0","18_1_0",22,896650713,0.322,0.195,0.262,0.222,0,0.482527,0.868161,0.950367,0.226965,0.554625,6.886800,1.000000,1.434602
0122,"18_0_0,24_0_0,4_0_0","14_0_0,20_0_0,7_0_0",19,214602621,0.334,0.181,0.276,0.209,0,0.345539,9169.711487,6927.634328,3329.920970,865.638991,30820.571952,1.000000,2.869123
0123,"18_0_0,2_1_0,24_0_0,1_0_0,11_0_0","14_0_0,1_1_0,20_0_0,2_0_0,9_0_0",24,596067354,0.365,0.168,0.226,0.242,0,0.823496,11.706975,0.162942,2.458273,11.700494,14.503863,1.000000,1.060205
0124,"2_1_0,11_0_0","1_1_0,9_0_0",22,900787474,0.312,0.125,0.235,0.328,0,0.921355,11.285419,34.381592,4.736071,8.876983,10.641164,1.000000,0.878263
0125,"23_0_0,1_0_0,14_0_0","17_0_0,2_0_0,18_0_0",21,544059041,0.194,0.163,0.217,0.426,1,16.984708,30.598934,41.198424,3.341170,0.000100,19.678990,1.000000,0.275595
0126,"1_0_0","2_0_0",25,625100772,0.331,0.187,0.157,0.324,0,3.056424,6.156146,8.239394,0.722957,4.933260,4.958771,1.000000,2.780068
0127,"1_0_0,14_0_0,20_0_0","2_0_0,18_0_0,24_0_0",22,675694098,0.374,0.122,0.068,0.436,1,10.081525,20.028341,50.656054,3.845621,45.226052,35.708339,1.000000,0.711267
0128,"15_0_0,18_0_0,11_0_0","22_0_0,14_0_0,9_0_0",21,642724162,0.350,0.143,0.282,0.225,0,0.540770,11.470753,36.134164,6.487917,1.717354,31.375518,1.000000,1.008271
0129,"23_0_0,9_0_0,2_0_0","17_0_0,11_0_0,1_0_0",21,700279054,0.398,0.183,0.128,0.291,0,0.489829,1.428595,4.481559,1.386654,0.000100,4.699204,1.000000,0.789558
0130,"18_0_0,11_0_0,11_0_0","14_0_0,9_0_0,21_0_0",24,790704491,0.333,0.120,0.276,0.271,0,0.664393,6.201538,4.631803,0.178818,2.177413,7.330268,1.000000,1.455371
0131,"12_0_0,12_0_0,12_0_0,11_0_0","4_0_0,6_0_0,7_0_0,9_0_0",25,130159940,0.209,0.326,0.210,0.256,0,2.001573,2189.164609,5380.167366,1672.144084,1727.185930,4739.653126,1.000000,4.772453
0132,"9_4_0,23_1_0,4_1_0,18_0_0,11_0_0,11_0_0,15_0_0,1_0_0,14_1_0","11_4_0,17_1_0,7_1_0,14_0_0,21_0_0,9_0_0,22_0_0,2_0_0,18_1_0",25,954894326,0.235,0.166,0.335,0.263,0,0.974945,9.002513,8.387350,0.648160,3.866964,10.407217,1.000000,9.664794
0133,"19_0_0,23_0_0,15_0_0,18_0_0,4_0_0,1_0_0,11_0_0","19_1_0,17_0_0,22_0_0,14_0_0,7_0_0,2_0_0,9_0_0",20,903102430,0.324,0.227,0.196,0.253,0,0.458434,0.408800,0.682786,0.740775,0.412890,0.949760,1.000000,1.264848
0134,"11_0_0","9_0_0",20,50815679,0.313,0.108,0.137,0.442,0,1.057930,1.675496,2.879492,0.000100,2.221390,3.559282,1.000000,1.542053
0135,"23_0_0,2_1_0,1_0_0,11_0_0","17_0_0,1_1_0,2_0_0,9_0_0",22,550271094,0.192,0.177,0.400,0.231,0,1.065076,4.939138,2.660250,2.730387,0.000100,5.032997,1.000000,0.880285
0136,"1_0_0,14_0_0,23_0_0","2_0_0,18_0_0,17_0_0",20,84490225,0.251,0.249,0.226,0.274,0,0.434051,3003.600806,4871.208520,4074.790675,1402.806877,10118.076269,1.000000,0.293945
0137,"22_3_0,23_0_0,18_0_0,2_1_0,11_0_0,1_0_0","22_0_0,17_0_0,14_0_0,1_1_0,9_0_0,2_0_0",18,829874810,0.392,0.112,0.233,0.263,0,0.372900,0.000100,11.098313,1.661872,5.616619,17.677373,1.000000,3.182681
0138,"15_1_0,18_0_0,21_1_0,21_1_0,7_6_0,14_1_0","19_1_0,14_0_0,11_1_0,9_1_0,4_6_0,18_1_0",24,203528346,0.327,0.161,0.214,0.298,0,0.590377,72.721320,210.742132,83.704380,237.994383,366.330143,1.000000,14.416196
0139,"14_0_0","18_0_0",23,773256925,0.265,0.242,0.297,0.196,0,1.901825,8.070118,58.539448,51.244273,0.000100,35.563945,1.000000,0.686309
0140,"19_0_0,18_0_0,1_0_0,11_0_0","15_0_0,14_0_0,2_0_0,9_0_0",22,559763038,0.459,0.106,0.210,0.224,0,0.854602,6.027872,3.362096,0.632424,6.047900,30.605742,1.000000,0.743006
0141,"18_0_0","14_0_0",24,387124982,0.293,0.204,0.185,0.318,0,0.632503,4285.862730,21904.978944,5270.553654,2801.181968,14604.545514,1.000000,1.143990
0142,"15_1_0,21_1_0,21_1_0,21_0_0,21_0_0,1_0_0","22_1_0,11_1_0,9_1_0,11_0_0,9_0_0,2_0_0",24,56229469,0.403,0.142,0.131,0.324,0,0.955364,3.837347,23.777868,1.603366,7.457603,15.646209,1.000000,2.541284
0143,"18_0_0,18_0_0,2_1_0,11_0_0","24_0_0,14_0_0,1_1_0,9_0_0",25,887838376,0.276,0.203,0.258,0.264,0,1.035604,4.112869,2.757560,3.368124,4.365082,10.554208,1.000000,1.664621
0144,"4_0_0,1_0_0","7_0_0,2_0_0",23,918585168,0.256,0.213,0.344,0.187,0,0.858320,7678.239689,10980.398228,6172.277255,4886.390992,29896.620384,1.000000,1.611039
0145,"18_0_0,11_0_0,1_0_0,11_1_0","14_0_0,9_0_0,2_0_0,9_1_0",25,563219086,0.254,0.185,0.268,0.293,0,1.012798,131.040858,255.274359,187.808692,153.842404,452.403581,1.000000,7.340655
0146,"2_1_0","1_1_0",21,338311187,0.389,0.163,0.168,0.280,0,0.702781,5.910185,32.966836,1.326941,60.630635,127.125801,1.000000,4.933332
0147,"1_0_0,11_0_0,14_1_0","2_0_0,9_0_0,18_1_0",24,978185800,0.373,0.153,0.242,0.231,0,0.605264,0.000100,1.955316,0.650961,3.594460,8.977842,1.000000,3.985952
0148,"NA","NA",20,156305831,0.336,0.219,0.240,0.205,0,0.807798,382.948290,2744.178607,1056.020740,4322.527674,3566.197556,1.000000,0.444834
0149,"14_0_0","18_0_0",22,746368230,0.257,0.234,0.237,0.271,0,1.573045,0.921880,2.683354,0.264862,0.050044,2.584365,1.000000,0.459742
0150,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",21,805736370,0.353,0.212,0.245,0.190,0,0.535747,867.078947,5739.894797,176.559742,2544.902899,4068.165614,1.000000,1.295262
0151,"9_0_0,14_0_0","11_0_0,18_0_0",20,207028047,0.236,0.148,0.220,0.396,0,0.384516,0.711434,1.797227,0.814923,0.906609,5.349009,1.000000,0.804273
0153,"23_0_0,18_0_0,21_0_0,21_0_0,1_0_0","17_0_0,14_0_0,11_0_0,9_0_0,2_0_0",21,76587064,0.372,0.232,0.126,0.269,0,0.593380,4.610223,6.179449,1.587883,4.302481,7.119653,1.000000,1.111845
0154,"18_0_0,1_0_0","14_0_0,2_0_0",25,719836532,0.291,0.186,0.248,0.275,0,1.955006,5.763938,9.685981,2.037603,4.380342,8.315401,1.000000,2.137406
0155,"18_0_0","14_0_0",23,383454659,0.309,0.174,0.253,0.264,0,0.485457,1.616552,5.457063,0.000100,1.755272,5.447632,1.000000,1.023148
0156,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",24,385248927,0.235,0.245,0.203,0.317,0,0.969250,7.246071,11.149617,0.000100,6.600733,18.837071,1.000000,1.729259
0157,"19_0_0,23_0_0,18_0_0,18_0_0,18_0_0,18_0_0,11_0_0,1_0_0","22_0_0,17_0_0,5_0_0,10_0_0,20_0_0,14_0_0,9_0_0,2_0_0",21,350276316,0.360,0.230,0.147,0.262,0,1.598098,2.435753,2.385368,1.878007,6.849753,3.723498,1.000000,0.583202
0158,"18_0_0,24_0_0,4_0_0","14_0_0,20_0_0,7_0_0",23,409637970,0.278,0.182,0.245,0.295,0,0.594132,7130.690582,11131.110788,8408.760489,7396.525775,36944.818839,1.000000,2.246124
0159,"19_0_0,19_0_0,18_0_0,11_0_0,1_0_0","15_0_0,22_0_0,14_0_0,9_0_0,2_0_0",19,468363091,0.226,0.197,0.313,0.264,0,0.386940,3332.603885,645.520289,696.128389,4926.852372,6530.676651,1.000000,1.180282
0160,"18_0_0,11_0_0","14_0_0,9_0_0",22,562622020,0.277,0.233,0.197,0.293,0,0.422930,4.096664,9.377961,3.726992,2.554924,15.206720,1.000000,1.186946
0161,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",21,330968299,0.207,0.167,0.367,0.259,0,0.526285,15797.471265,14486.320568,5750.151581,3055.853837,15075.290026,1.000000,3.014356
0162,"9_0_0,9_0_0,2_0_0","11_0_0,21_0_0,1_0_0",23,671485463,0.263,0.141,0.343,0.253,0,2.118632,7.653581,5.879632,3.175898,8.435811,46.292936,1.000000,0.559300
0163,"14_0_0","18_0_0",23,42874557,0.277,0.154,0.163,0.406,0,1.375028,3422.961228,7906.034533,5064.380820,0.000100,16427.324724,1.000000,0.501920
0164,"1_0_0,11_1_0","2_0_0,9_1_0",25,281772592,0.328,0.210,0.162,0.300,0,0.536398,2.502333,5.831977,1.906543,2.169757,9.565063,1.000000,10.129921
0165,"14_0_0","18_0_0",16,896886096,0.400,0.215,0.120,0.265,0,0.369176,0.805115,1.991675,0.000100,2.321946,1.101571,1.000000,0.256810
0166,"23_0_0,18_0_0","17_0_0,14_0_0",20,72439819,0.433,0.255,0.167,0.145,0,0.442179,1.642255,4.881381,2.236649,0.955017,3.452954,1.000000,0.834146
0167,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",24,632898907,0.343,0.133,0.292,0.232,0,1.606609,3.181890,17.142660,5.316959,10.890207,38.908897,1.000000,1.845657
0168,"23_0_0,18_0_0,1_0_0,11_0_0,4_0_0","17_0_0,14_0_0,2_0_0,9_0_0,7_0_0",25,497919730,0.268,0.288,0.175,0.268,0,1.644065,0.670011,2.320014,0.000100,1.574326,1.747211,1.000000,2.404863
0169,"18_0_0,4_0_0,1_0_0,11_1_0,11_0_0","14_0_0,7_0_0,2_0_0,9_1_0,9_0_0",25,717716170,0.293,0.170,0.255,0.282,0,1.408066,5.947641,3.205732,1.093380,1.952854,13.910861,1.000000,3.013602
0170,"18_0_0,11_0_0,11_0_0","14_0_0,9_0_0,21_0_0",21,72891657,0.279,0.194,0.197,0.330,0,0.536106,4207.552841,7114.222843,4033.530015,3759.279994,9603.377775,1.000000,2.473329
0171,"19_0_0,18_0_0,17_0_0,1_0_0","19_2_0,14_0_0,23_4_0,2_0_0",22,941450718,0.365,0.131,0.236,0.267,0,0.649825,232657.269479,582450.039130,107740.488331,19278.401979,1000000.000000,1.000000,3.934638
0172,"11_0_0","9_0_0",25,333307673,0.306,0.176,0.226,0.292,0,2.744455,2.513729,2.133873,0.267913,0.947826,5.300535,1.000000,0.866250
0173,"NA","NA",21,708286938,0.430,0.223,0.177,0.170,0,0.891242,0.464834,1.553624,0.000100,0.000100,1.549842,1.000000,0.280740
0174,"18_0_0,2_1_0,2_2_0,11_0_0","14_0_0,1_1_0,1_2_0,9_0_0",23,286462874,0.446,0.225,0.130,0.200,0,0.470439,2.037575,2.432911,1.113088,1.208876,2.008769,1.000000,2.173220
0175,"15_1_0,18_0_0,4_0_0,11_1_0","19_1_0,14_0_0,7_0_0,9_1_0",20,480635594,0.393,0.218,0.156,0.234,0,0.322385,0.452796,1.376555,0.393047,0.789318,0.870368,1.000000,3.765115
0176,"18_0_0,11_0_0","14_0_0,9_0_0",25,408399892,0.405,0.212,0.200,0.183,0,1.081775,3.932290,4.629831,4.127787,0.000100,4.517011,1.000000,0.849731
0177,"19_0_0,14_0_0,10_0_0","15_0_0,18_0_0,10_2_0",19,73038302,0.406,0.254,0.154,0.186,0,0.323887,847.523452,3297.444257,752.920918,1270.830176,3851.919551,1.000000,0.632255
0178,"9_2_0,13_6_0","11_2_0,13_0_0",20,484565012,0.622,0.116,0.162,0.099,0,0.819375,0.554515,1.327941,0.562038,0.867482,8.571894,1.000000,4.445103
0179,"9_2_0,18_0_0,15_0_0,4_0_0,22_2_0,22_2_0,11_1_0,11_0_0","11_2_0,14_0_0,22_0_0,7_0_0,15_2_0,19_2_0,9_1_0,9_0_0",24,866084084,0.331,0.182,0.131,0.356,0,0.705651,14.470954,44.332597,15.672945,53.736433,56.034448,1.000000,5.157422
0180,"18_0_0,18_3_0,1_0_0,11_0_0","14_0_0,14_3_0,2_0_0,9_0_0",19,648043080,0.248,0.289,0.157,0.306,0,0.348779,2.276458,14.372385,3.402306,2.359337,3.509419,1.000000,3.394746
0181,"14_0_0,23_0_0","18_0_0,17_0_0",22,696003659,0.375,0.123,0.262,0.240,0,1.723943,1.716705,0.773267,0.519578,1.739236,3.686807,1.000000,0.425192
0182,"23_0_0,9_0_0,14_0_0,11_1_0","17_0_0,11_0_0,18_0_0,9_1_0",20,146550354,0.341,0.198,0.204,0.257,0,0.557297,0.508920,3.295758,1.254075,1.964857,4.728320,1.000000,0.588970
0183,"24_0_0,11_1_0,11_0_0","20_0_0,9_1_0,9_0_0",25,356150722,0.198,0.198,0.258,0.347,0,1.125139,1.825294,6.687506,2.578633,2.044035,6.522656,1.000000,3.603113
0184,"18_0_0,1_0_0,14_1_0,9_0_0","14_0_0,2_0_0,18_1_0,21_0_0",23,953659721,0.276,0.216,0.241,0.267,0,0.919022,1.305875,1.145133,0.461191,1.314670,5.311786,1.000000,1.103174
0185,"21_0_0,4_0_0","9_0_0,7_0_0",23,162680083,0.369,0.206,0.140,0.286,0,1.248834,1.737336,6.038687,0.444266,1.359883,6.348456,1.000000,1.336427
0186,"9_0_0,2_0_0,4_0_0","11_0_0,1_0_0,7_0_0",17,258921017,0.265,0.204,0.327,0.204,0,0.755694,0.000100,2.083113,7.128815,7.294102,37.389193,1.000000,0.238004
0187,"24_0_0,21_0_0,21_0_0,1_0_0,4_0_0","20_0_0,11_0_0,9_0_0,2_0_0,7_0_0",17,259655385,0.374,0.147,0.258,0.221,0,0.349868,25667.151759,6887.238327,3017.254123,955.656035,17153.458798,1.000000,0.822454
0188,"19_0_0,19_0_0,25_0_0,25_0_0,18_0_0,24_0_0,4_0_0","15_0_0,22_0_0,21_0_0,11_0_0,14_0_0,20_0_0,7_0_0",23,644883762,0.406,0.120,0.294,0.179,0,1.385733,730.236733,901.324522,576.152432,801.069108,2578.949450,1.000000,0.936657
0189,"18_2_0,18_0_0,1_0_0,11_0_0","14_2_0,14_0_0,2_0_0,9_0_0",22,589113010,0.228,0.197,0.289,0.285,0,0.732863,4.221168,5.707087,4.706668,1.932060,10.781217,1.000000,3.497005
0190,"11_0_0,1_0_0,4_0_0","9_0_0,2_0_0,7_0_0",21,251278151,0.437,0.209,0.092,0.263,0,0.691446,21.245079,222.500948,19.410971,145.784871,97.565022,1.000000,1.045101
0191,"4_1_0,11_1_0","7_1_0,9_1_0",25,670468800,0.217,0.173,0.305,0.304,0,1.186963,6.498603,4.293727,1.209486,1.954691,6.791624,1.000000,6.472557
0192,"16_0_0,9_0_0,9_0_0,4_0_0,2_0_0","13_0_0,11_0_0,21_0_0,7_0_0,1_0_0",21,555092837,0.298,0.293,0.144,0.264,0,0.700728,1.039562,34.678371,7.654884,25.310229,32.596098,1.000000,0.540349
0193,"18_2_0,19_0_0,18_0_0","14_2_0,15_0_0,14_0_0",18,104693603,0.195,0.413,0.170,0.222,0,0.486914,0.368085,2.153269,0.656569,0.155389,0.404439,1.000000,0.966106
0194,"14_0_0,20_0_0","18_0_0,24_0_0",13,766005303,0.228,0.255,0.185,0.332,0,0.493027,3313.885504,24609.651655,11746.615036,18330.739418,19674.175749,1.000000,0.169530
0195,"9_2_0,18_0_0,1_0_0,11_0_0,4_0_0","11_2_0,14_0_0,2_0_0,9_0_0,7_0_0",25,715259161,0.381,0.164,0.127,0.328,0,1.343617,4539.023023,5105.873686,578.007269,4214.899917,5796.451966,1.000000,2.331510
0196,"19_0_0,18_0_0,2_2_0,21_0_0,21_0_0","19_3_0,14_0_0,1_2_0,11_0_0,9_0_0",22,915672363,0.473,0.145,0.206,0.176,0,0.700222,0.237039,1.529974,0.757331,0.941247,6.152394,1.000000,0.933117
0197,"18_3_0,11_1_0,11_0_0","14_3_0,9_1_0,9_0_0",25,705556183,0.261,0.223,0.172,0.345,0,0.854958,3.698140,7.019975,0.869341,2.178178,6.373856,1.000000,3.823221
0198,"18_4_0,18_4_0,9_2_0,2_1_0,18_3_0,1_0_0,9_0_0,9_0_0","20_5_0,14_4_0,11_2_0,1_1_0,14_3_0,2_0_0,11_0_0,21_0_0",23,191394547,0.351,0.131,0.137,0.381,0,0.542941,3.512878,5.995583,0.000100,4.700278,7.952756,1.000000,9.112335
0199,"2_0_0,1_1_0","1_0_0,2_1_0",21,645906859,0.166,0.223,0.211,0.400,0,1.801314,2.478558,6.290792,0.000100,6.519020,10.100035,1.000000,0.075670
0200,"23_2_0,1_0_0,11_0_0,14_0_0","17_2_0,2_0_0,9_0_0,18_0_0",19,374573514,0.443,0.187,0.216,0.154,0,0.424892,120.780712,77.167184,51.630646,63.041591,296.694816,1.000000,1.881256
0201,"9_3_0,18_0_0,2_1_0,21_0_0,21_0_0","11_3_0,14_0_0,1_1_0,11_0_0,9_0_0",24,281438094,0.219,0.229,0.252,0.299,0,0.893892,8.863514,6.280486,2.042738,8.193397,11.737129,1.000000,1.440068
0202,"19_0_0,19_0_0,4_0_0,1_0_0,4_2_0,11_0_0","15_0_0,22_0_0,7_0_0,2_0_0,7_2_0,9_0_0",24,272689262,0.213,0.264,0.203,0.320,0,4.880129,2.480128,4.303474,1.057850,1.182373,2.570182,1.000000,1.030149
0203,"19_0_0,11_0_0","15_0_0,9_0_0",20,668799396,0.258,0.292,0.231,0.218,0,0.500178,2.960197,1.950953,0.000100,1.841416,8.238623,1.000000,0.314020
0204,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",19,97896487,0.346,0.206,0.188,0.259,0,0.247752,2.222814,3.399068,0.552710,2.749818,10.464352,1.000000,1.443484
0205,"23_0_0,25_0_0,18_0_0,14_1_0","17_0_0,21_0_0,14_0_0,18_1_0",18,686950588,0.439,0.170,0.246,0.145,0,0.235112,0.361286,0.677440,0.000100,0.098075,1.986874,1.000000,1.435340
0206,"1_0_0,9_0_0","2_0_0,11_0_0",25,708767488,0.373,0.082,0.242,0.303,0,2.635586,0.000100,33.547368,9.389221,43.398775,110.098493,1.000000,0.738630
0207,"18_2_0,18_2_0,18_2_0","14_2_0,14_0_0,18_0_0",18,86378481,0.253,0.113,0.283,0.350,0,0.998163,9.027251,6.465384,2.030929,0.852304,17.713156,1.000000,0.487856
0208,"18_0_0,1_0_0,11_0_0,4_0_0","14_0_0,2_0_0,9_0_0,7_0_0",24,35104141,0.303,0.182,0.268,0.247,0,0.617275,4.761900,0.542135,0.332405,3.003550,11.244548,1.000000,1.182552
0209,"NA","NA",24,107390223,0.376,0.130,0.248,0.246,0,0.891069,6.397371,2.758417,1.778586,6.043586,15.916553,1.000000,1.156167
0210,"18_4_0,18_4_0,18_4_0,11_0_0","18_0_0,14_0_0,14_4_0,9_0_0",24,852918712,0.350,0.179,0.200,0.271,0,0.573735,3742.017039,4615.055780,1773.503322,842.024645,3447.890118,1.000000,1.461414
0211,"19_0_0,19_0_0,18_0_0,2_2_0,4_0_0,11_0_0,11_0_0","15_0_0,22_0_0,20_0_0,1_2_0,7_0_0,9_0_0,21_0_0",20,779772381,0.206,0.330,0.159,0.306,0,0.653563,0.715066,5.206489,0.660661,0.948296,1.333746,1.000000,1.249394
0212,"18_0_0,11_0_0,4_0_0,14_1_0","14_0_0,9_0_0,7_0_0,18_1_0",20,468324847,0.321,0.219,0.227,0.233,0,0.408133,4890.635879,13758.631161,2903.149860,3215.697804,6553.362193,1.000000,1.536071
0214,"18_0_0,1_0_0","14_0_0,2_0_0",24,72644832,0.227,0.209,0.113,0.451,0,1.267218,4.006305,7.492519,1.777891,15.856160,6.145133,1.000000,2.657119
0215,"18_2_0,18_0_0,1_0_0,11_0_0","14_2_0,14_0_0,2_0_0,9_0_0",24,405427413,0.261,0.294,0.191,0.255,0,1.551077,2.514982,8.102087,1.925896,3.507887,6.790862,1.000000,3.031442
0216,"13_2_0,1_0_0","16_2_0,2_0_0",24,560449708,0.221,0.268,0.188,0.323,0,0.772852,1787.681850,2905.165523,1519.055391,2893.282328,4597.116102,1.000000,3.014261
0217,"14_0_0,14_0_0,2_1_0","24_0_0,18_0_0,1_1_0",23,823260657,0.284,0.169,0.371,0.176,0,1.264964,1.826457,16.252295,10.022201,0.399317,28.867969,1.000000,3.215890
0218,"18_0_0,1_0_0,11_0_0,11_0_0,14_1_0","14_0_0,2_0_0,9_0_0,21_0_0,18_1_0",23,73661103,0.330,0.253,0.170,0.247,0,0.753218,1.316101,2.076630,0.152852,0.357912,6.710923,1.000000,2.826159
0219,"NA","NA",21,149379713,0.262,0.153,0.309,0.276,0,0.458610,1.630555,1.575650,0.342248,2.229373,1.480302,1.000000,0.350289
0221,"23_0_0,18_0_0,21_1_0,21_1_0,1_0_0,4_2_0,11_0_0","17_0_0,14_0_0,11_1_0,9_1_0,2_0_0,4_0_0,9_0_0",24,404892165,0.329,0.160,0.115,0.396,0,0.479443,151862.797008,584226.270219,78396.162268,549170.852082,422202.462970,1.000000,3.004950
0222,"23_0_0,19_0_0,1_0_0,11_1_0,11_0_0","17_0_0,22_0_0,2_0_0,9_1_0,9_0_0",17,618827565,0.293,0.115,0.350,0.242,0,0.500982,3180.619595,547.972884,157.243599,2835.263739,5660.759481,1.000000,1.863248
0223,"1_0_0","2_0_0",21,295649296,0.322,0.115,0.258,0.305,0,0.312286,5387.319147,5201.225790,1078.924508,476.458468,8724.848012,1.000000,1.031248
0224,"19_0_0,19_0_0,23_0_0,24_0_0,4_0_0,1_0_0,11_0_0","15_0_0,22_0_0,17_0_0,20_0_0,7_0_0,2_0_0,9_0_0",17,122873142,0.278,0.266,0.193,0.263,0,0.334150,5.165273,16.148241,15.633903,0.000100,18.021659,1.000000,0.629162
0225,"9_2_0,18_0_0,21_0_0,21_0_0,11_1_0,1_0_0","11_2_0,14_0_0,11_0_0,9_0_0,9_1_0,2_0_0",24,14808501,0.264,0.247,0.322,0.167,0,1.519740,3.690749,12.925823,10.201056,2.411868,26.206728,1.000000,4.316102
0226,"23_0_0,4_1_0","17_0_0,7_1_0",19,717861264,0.179,0.225,0.328,0.269,0,0.432093,29.025383,55.889611,72.358206,41.323025,77.343266,1.000000,0.927498
0227,"14_0_0,1_0_0","18_0_0,2_0_0",18,88853909,0.255,0.097,0.356,0.293,0,0.425677,109.030993,55.807745,14.345052,41.874783,135.183934,1.000000,0.731488
0228,"18_0_0,2_1_0,1_0_0,11_0_0","14_0_0,1_1_0,2_0_0,9_0_0",23,383782631,0.323,0.189,0.273,0.215,0,0.648507,7.892816,21.460928,15.617312,17.822865,45.206497,1.000000,1.631717
0229,"13_0_0,11_0_0,1_0_0","13_2_0,9_0_0,2_0_0",25,187640462,0.440,0.155,0.228,0.177,0,1.361276,947.404893,2367.790620,1560.517539,651.839577,4191.792772,1.000000,1.031199
0230,"5_1_0,18_0_0,4_0_0,11_0_0","5_0_0,14_0_0,7_0_0,9_0_0",22,880670341,0.381,0.207,0.175,0.237,0,0.509623,0.786624,1.269113,0.806824,0.346472,2.725287,1.000000,5.011189
0231,"18_0_0,13_0_0,11_0_0,4_0_0","14_0_0,10_0_0,9_0_0,7_0_0",22,833029107,0.310,0.159,0.196,0.335,0,0.447017,2387.177382,5726.427831,2383.150141,1637.199611,9236.007358,1.000000,1.425193
0232,"1_0_0","2_0_0",21,583262434,0.296,0.203,0.238,0.263,0,0.406737,0.936356,1.205666,1.049843,0.000100,0.943429,1.000000,3.020803
0233,"18_0_0,11_0_0","14_0_0,9_0_0",24,668328282,0.296,0.142,0.327,0.235,0,0.669378,5.022141,2.430218,1.039947,2.740060,6.475274,1.000000,1.185545
0234,"18_0_0,4_0_0,11_0_0","14_0_0,7_0_0,9_0_0",23,739222206,0.450,0.165,0.235,0.150,0,1.008094,4.000965,2.528660,0.000100,0.804765,16.571765,1.000000,2.021030
0235,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",22,68980691,0.369,0.224,0.120,0.287,0,0.348563,545.272098,6275.521948,457.579351,1742.556716,3943.561209,1.000000,2.387769
0236,"23_0_0,18_0_0,2_1_0,1_0_0,4_2_0,11_0_0","17_0_0,14_0_0,1_1_0,2_0_0,7_2_0,9_0_0",24,754272705,0.261,0.171,0.279,0.289,0,1.745683,2.778271,3.834140,3.333379,1.339362,8.643902,1.000000,1.526416
0237,"9_2_0,18_0_0,11_1_0","11_2_0,14_0_0,9_1_0",23,598175443,0.354,0.149,0.168,0.328,0,0.677507,2.937622,2.954053,0.505886,1.572249,7.147720,1.000000,2.086282
0238,"18_0_0,15_0_0,11_0_0","14_0_0,22_0_0,9_0_0",19,165628324,0.296,0.200,0.178,0.326,0,0.276130,6477.889008,10621.994982,5323.892730,4902.825832,14769.403575,1.000000,1.576429
0239,"1_1_0,3_2_0","2_1_0,3_1_0",23,484305808,0.331,0.151,0.256,0.261,0,0.537543,7905.722682,3117.034704,1197.828273,4247.701182,8931.714654,1.000000,4.973489
0240,"1_0_0,11_0_0","2_0_0,9_0_0",24,138431528,0.334,0.184,0.173,0.309,0,0.699678,2.292185,5.104853,0.620819,0.000100,2.788989,1.000000,1.913165
0241,"19_0_0,14_0_0,14_0_0,2_0_0","15_0_0,20_0_0,18_0_0,1_0_0",24,312062007,0.373,0.177,0.190,0.259,0,2.268602,0.929337,2.545538,0.223926,1.228189,2.860317,1.000000,0.561103
0242,"18_1_0,15_0_0,11_0_0","14_1_0,22_0_0,9_0_0",21,884172198,0.333,0.197,0.254,0.215,0,0.434441,3.728817,3.104439,3.092267,0.953001,5.716803,1.000000,2.663844
0243,"18_2_0,23_0_0,4_1_0,23_2_0,1_0_0,11_0_0,14_0_0","14_2_0,17_0_0,4_0_0,17_2_0,2_0_0,9_0_0,18_0_0",23,886185555,0.245,0.196,0.159,0.400,0,1.104697,8.730447,16.436271,5.537115,6.668841,14.267491,1.000000,3.550923
0244,"1_0_0","2_0_0",22,708946422,0.373,0.168,0.232,0.227,0,0.531278,0.920540,4.058132,0.927250,0.000100,4.665583,1.000000,0.510499
0245,"18_0_0,11_0_0,1_0_0,4_0_0","14_0_0,9_0_0,2_0_0,7_0_0",25,974798961,0.277,0.225,0.257,0.242,0,1.941424,0.915497,1.412653,0.885462,1.281028,6.505042,1.000000,1.781933
0246,"14_0_0","18_0_0",17,702275992,0.328,0.100,0.164,0.408,0,0.760824,2.096230,3.892611,0.492827,0.000100,2.381562,1.000000,0.368827
0247,"1_0_0","2_0_0",23,746128317,0.293,0.190,0.232,0.285,0,1.638779,56.556501,47.123500,16.162663,41.222845,33.331868,1.000000,2.158816
0248,"15_0_0,9_0_0","22_0_0,11_0_0",19,819812453,0.331,0.153,0.273,0.244,0,2.801934,4.540160,4.219365,2.013389,0.000100,26.783389,1.000000,0.152615
0249,"18_0_0,5_0_0,19_0_0,24_0_0,11_1_0,1_0_0","14_0_0,4_0_0,22_0_0,20_0_0,9_1_0,2_0_0",16,918127463,0.311,0.304,0.107,0.279,0,0.272412,5.120139,8.975882,2.564625,1.950226,2.325853,1.000000,0.681713
0250,"19_0_0,23_0_0,18_0_0,11_0_0","15_0_0,17_0_0,14_0_0,9_0_0",20,271498577,0.443,0.163,0.200,0.193,0,0.299265,0.323922,4.014015,1.523863,1.562087,4.341137,1.000000,1.092700
