GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0031,"18_0_0,24_0_0","14_0_0,20_0_0",24,470626766,0.294,0.112,0.354,0.240,0,1.199093,20728.055127,10925.661718,6317.012037,6420.916979,36186.246195,1.000000,1.778284
0032,"18_0_0,21_0_0,11_1_0","14_0_0,9_0_0,9_1_0",23,380858078,0.316,0.236,0.209,0.239,0,0.584924,4318.451923,7340.336383,1883.654043,4037.405038,8834.526654,1.000000,3.032455
0033,"15_0_0,11_1_0","19_0_0,9_1_0",23,415965613,0.256,0.114,0.307,0.323,0,0.422364,4405.472633,8402.334553,5535.414148,2809.043859,23913.159033,1.000000,1.721255
0034,"18_0_0,17_0_0,11_0_0,11_0_0","14_0_0,23_2_0,9_0_0,21_0_0",18,570831582,0.593,0.146,0.165,0.096,0,1.438666,0.655930,0.239373,0.415920,0.083178,1.588544,1.000000,0.576643
0035,"23_0_0,18_0_0,18_0_0,4_0_0,1_0_0,11_0_0","17_0_0,20_0_0,14_0_0,7_0_0,2_0_0,9_0_0",17,173772697,0.283,0.157,0.299,0.261,0,0.682150,5.235921,5.263083,13.757589,0.689499,17.307016,1.000000,0.650794
0036,"23_0_0,18_0_0,1_0_0,11_0_0","17_0_0,14_0_0,2_0_0,9_0_0",21,656170883,0.258,0.323,0.200,0.218,0,0.442100,29.480493,39.095353,1.415741,6.104807,41.602526,1.000000,0.892072
0037,"18_0_0,21_0_0,1_0_0","14_0_0,9_0_0,2_0_0",23,178481075,0.362,0.185,0.148,0.306,0,0.836167,122.430799,931.372180,143.370875,1304.050889,431.548602,1.000000,1.929793
0038,"9_0_0","11_0_0",19,513502483,0.288,0.261,0.208,0.242,0,0.355147,0.220180,1.109603,0.198888,0.247340,1.442041,1.000000,0.605809
0039,"4_1_0,18_0_0,6_0_0,1_0_0,11_0_0","7_1_0,14_0_0,7_0_0,2_0_0,9_0_0",20,922250100,0.273,0.224,0.177,0.325,0,0.184751,1.946449,1.934414,0.332693,0.000100,2.323099,1.000000,1.617749
0040,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",25,639297677,0.293,0.223,0.153,0.330,0,1.792238,2.584706,1.454619,0.416467,1.024456,2.054596,1.000000,1.419270
0041,"4_1_0,4_1_0,18_0_0,16_0_0,16_0_0,11_0_0","4_0_0,7_0_0,14_0_0,16_3_0,16_2_0,9_0_0",21,475502382,0.254,0.187,0.256,0.303,0,0.571502,4.012045,3.504919,0.044897,0.000100,5.867381,1.000000,2.789201
0042,"1_1_0,24_3_0","2_1_0,20_3_0",22,171132936,0.549,0.111,0.173,0.166,0,1.073743,1.309589,1.691546,0.629982,4.223598,5.865740,1.000000,4.801515
0043,"23_0_0,2_1_0,11_0_0,1_0_0","17_0_0,1_1_0,9_0_0,2_0_0",25,648785422,0.332,0.167,0.198,0.303,0,0.941443,3.473706,12.205909,4.595385,8.751047,17.855835,1.000000,1.310959
0044,"NA","NA",23,385494093,0.270,0.220,0.203,0.307,0,2.227993,7626.753316,18257.758530,6012.981591,38.108885,5177.600211,1.000000,0.324726
0045,"19_0_0,9_0_0","22_0_0,11_0_0",19,642699711,0.317,0.154,0.298,0.231,0,0.966727,5.361877,3.639258,0.294065,3.107846,13.343545,1.000000,0.210163
0046,"15_1_0,23_3_0,18_0_0,11_0_0,4_0_0","22_1_0,23_2_0,14_0_0,9_0_0,7_0_0",20,201871995,0.178,0.231,0.322,0.269,0,0.320413,17.060544,24.630989,1.919338,2.085804,24.551262,1.000000,3.618174
0047,"2_0_0","1_0_0",23,195175516,0.229,0.134,0.377,0.260,0,1.880320,2.080091,6.926745,2.526945,3.337298,5.755463,1.000000,0.516676
0048,"14_0_0","18_0_0",25,641831722,0.349,0.146,0.263,0.243,0,1.665689,10.053867,11.967660,9.338484,5.108235,19.445933,1.000000,0.790948
0049,"18_0_0,1_0_0,15_0_0,11_0_0,4_0_0","14_0_0,2_0_0,22_0_0,9_0_0,7_0_0",23,830116299,0.357,0.345,0.124,0.173,0,2.027063,0.203898,1.931458,0.820698,0.478771,0.851936,1.000000,1.493196
0050,"18_0_0,15_0_0,24_0_0,11_1_0","14_0_0,22_0_0,20_0_0,9_1_0",24,529827725,0.390,0.193,0.221,0.196,0,0.604941,37.291801,34.219494,4.514543,8.442999,52.495982,1.000000,2.868636
0051,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",23,313684264,0.331,0.056,0.385,0.227,0,1.045621,17.620008,5.595344,2.563005,7.990028,25.913620,1.000000,1.811892
0052,"2_1_0,11_0_0","1_1_0,9_0_0",24,51658483,0.286,0.307,0.198,0.208,0,1.047894,1.371923,4.761470,1.911948,1.245426,3.963699,1.000000,2.467248
0053,"15_0_0,4_0_0","22_0_0,7_0_0",25,926438883,0.237,0.143,0.336,0.284,0,1.066774,0.000100,11443.908468,4218.178015,6622.962681,27332.873162,1.000000,2.553094
0054,"14_0_0,14_0_0,24_2_0,2_0_0","18_0_0,20_0_0,20_2_0,1_0_0",14,351500078,0.484,0.196,0.122,0.198,0,0.263640,0.237052,0.290591,0.095307,0.432681,0.866102,1.000000,0.428644
0055,"14_0_0,2_0_0","18_0_0,1_0_0",19,153452407,0.432,0.152,0.189,0.227,0,0.362709,4.190891,1.779108,1.292455,0.341748,11.366420,1.000000,0.697851
0056,"18_2_0,11_0_0,1_0_0","14_2_0,9_0_0,2_0_0",24,966496049,0.205,0.224,0.180,0.391,0,1.483548,22.090509,33.319585,0.782890,1.493237,14.880912,1.000000,1.835336
0057,"15_1_0,23_1_0,8_1_0,4_1_0,18_0_0,18_3_0,15_2_0,11_1_0,11_0_0","22_1_0,17_1_0,6_1_0,7_1_0,14_0_0,14_3_0,19_2_0,9_1_0,9_0_0",19,712941935,0.278,0.117,0.234,0.371,0,0.403933,28.199666,35.515983,10.826522,38.119689,46.277541,1.000000,6.414612
0058,"17_1_0,11_0_0","17_0_0,9_0_0",23,241867360,0.223,0.268,0.215,0.294,0,0.890763,0.556799,2.608574,0.515843,1.571594,1.041978,1.000000,1.982339
