GENE,Gt_node,Lt_node,Lt_paralog
0001,'3_0_0','3_0',0
0001,'2_0_0','2_0',0
0001,'1_0_0','1_0',0
0001,3,3,0
0001,4,4,0
0001,'7_0_0','7_0',0
0001,'4_0_0','4_0',0
0001,7,26,0
0001,'12_0_0','12_0',0
0001,'15_0_0','15_0',0
0001,'22_0_0','22_0',0
0001,11,8,0
0001,'19_1_0','19_1',1
0001,'19_0_0','19_0',0
0001,14,11,0
0001,15,12,0
0001,'21_0_0','21_0',0
0001,'11_0_0','11_0',0
0001,'9_0_0','9_0',0
0001,19,15,0
0001,20,17,0
0001,'25_0_0','25_0',0
0001,22,19,0
0001,'6_0_0','6_0',0
0001,24,21,0
0001,25,22,0
0001,26,23,0
0001,27,27,0
0001,'20_0_0','20_0',0
0001,'24_0_0','24_0',0
0001,30,46,0
0001,'18_0_0','18_0',0
0001,'14_0_0','14_0',0
0001,33,43,0
0001,34,47,0
0001,'13_0_0','13_0',0
0001,'16_0_0','16_0',0
0001,37,30,0
0001,'23_0_0','23_0',0
0001,'17_0_0','17_0',0
0001,40,38,0
0001,'5_0_0','5_0',0
0001,'10_0_0','10_0',0
0001,'10_2_0','10_2',2
0001,44,34,0
0001,45,35,0
0001,46,39,0
0001,47,40,0
0001,48,48,0
0001,'8_0_0','8_0',0
0001,50,50,0
0001,51,51,0
0001,52,52,0
0002,'4_0_0','4_0',0
0002,'7_0_0','7_0',0
0002,2,24,0
0002,'12_0_0','12_0',0
0002,'6_0_0','6_0',0
0002,'25_0_0','25_0',0
0002,'11_0_0','11_0',0
0002,'9_0_0','9_0',0
0002,8,13,0
0002,'21_0_0','21_0',0
0002,10,15,0
0002,11,17,0
0002,12,19,0
0002,'19_0_0','19_0',0
0002,'15_0_0','15_0',0
0002,'22_0_0','22_0',0
0002,16,8,0
0002,17,10,0
0002,18,20,0
0002,19,21,0
0002,20,25,0
0002,'2_0_0','2_0',0
0002,'1_0_0','1_0',0
0002,23,3,0
0002,'3_0_0','3_0',0
0002,25,4,0
0002,26,28,0
0003,'8_0_0','8_0',0
0003,'20_0_0','20_0',0
0003,'24_0_0','24_0',0
0003,3,44,0
0003,'18_0_0','18_0',0
0003,'14_0_0','14_0',0
0003,6,41,0
0003,7,45,0
0003,'13_0_0','13_0',0
0003,'16_0_0','16_0',0
0003,10,30,0
0003,'5_0_0','5_0',0
0003,'10_0_0','10_0',0
0003,13,33,0
0003,'23_0_0','23_0',0
0003,'17_0_0','17_0',0
0003,16,36,0
0003,17,37,0
0003,18,38,0
0003,19,46,0
0003,20,48,0
0003,'12_0_0','12_0',0
0003,'6_0_0','6_0',0
0003,'25_1_0','25_1',1
0003,'25_0_0','25_0',0
0003,25,18,0
0003,'21_0_0','21_0',0
0003,'11_0_0','11_0',0
0003,'9_0_0','9_0',0
0003,29,13,0
0003,30,15,0
0003,31,19,0
0003,32,21,0
0003,'19_0_0','19_0',0
0003,'22_0_0','22_0',0
0003,'15_0_0','15_0',0
0003,36,8,0
0003,37,10,0
0003,38,22,0
0003,39,23,0
0003,'7_0_0','7_0',0
0003,'4_0_0','4_0',0
0003,42,26,0
0003,43,27,0
0003,44,49,0
0003,'2_0_0','2_0',0
0003,'1_0_0','1_0',0
0003,47,3,0
0003,'3_0_0','3_0',0
0003,49,4,0
0003,50,50,0
0004,'7_0_0','7_0',0
0004,'4_0_0','4_0',0
0004,2,32,0
0004,'19_0_0','19_0',0
0004,'22_0_0','22_0',0
0004,'15_0_0','15_0',0
0004,6,16,0
0004,7,18,0
0004,'25_0_0','25_0',0
0004,'21_0_0','21_0',0
0004,'9_0_0','9_0',0
0004,'11_0_0','11_0',0
0004,12,21,0
0004,13,23,0
0004,14,25,0
0004,'6_0_0','6_0',0
0004,16,27,0
0004,17,28,0
0004,18,33,0
0004,'16_0_0','16_0',0
0004,'10_0_0','10_0',0
0004,'5_0_0','5_0',0
0004,22,39,0
0004,'23_0_0','23_0',0
0004,'17_0_0','17_0',0
0004,25,42,0
0004,26,43,0
0004,27,44,0
0004,'24_0_0','24_0',0
0004,'20_0_0','20_0',0
0004,30,50,0
0004,'18_0_0','18_0',0
0004,'14_0_0','14_0',0
0004,33,47,0
0004,34,51,0
0004,35,52,0
0004,36,55,0
0004,'2_0_0','2_0',0
0004,'1_0_0','1_0',0
0004,39,3,0
0004,'2_2_0','2_2',2
0004,'1_2_0','1_2',2
0004,42,6,2
0004,43,7,0
0004,'2_1_0','2_1',1
0004,'1_1_0','1_1',1
0004,46,10,1
0004,47,11,0
0004,'3_0_0','3_0',0
0004,49,12,0
0004,50,56,0
0005,'4_0_0','4_0',0
0005,'7_0_0','7_0',0
0005,2,20,0
0005,'15_0_0','15_0',0
0005,'22_0_0','22_0',0
0005,5,8,0
0005,'19_0_0','19_0',0
0005,7,10,0
0005,'25_0_0','25_0',0
0005,'6_0_0','6_0',0
0005,10,15,0
0005,11,16,0
0005,'12_0_0','12_0',0
0005,13,17,0
0005,14,21,0
0005,'8_0_0','8_0',0
0005,'20_0_0','20_0',0
0005,'24_0_0','24_0',0
0005,18,40,0
0005,'14_0_0','14_0',0
0005,'18_0_0','18_0',0
0005,21,37,0
0005,22,41,0
0005,'23_0_0','23_0',0
0005,'17_0_0','17_0',0
0005,25,32,0
0005,'10_0_0','10_0',0
0005,'5_0_0','5_0',0
0005,28,29,0
0005,29,33,0
0005,'16_1_0','16_1',1
0005,'16_0_0','16_0',0
0005,32,25,0
0005,'13_0_0','13_0',0
0005,34,26,0
0005,35,34,0
0005,36,42,0
0005,37,44,0
0005,38,45,0
0005,'3_0_0','3_0',0
0005,'1_0_0','1_0',0
0005,'2_0_0','2_0',0
0005,42,3,0
0005,43,4,0
0005,44,46,0
0006,'1_0_0','1_0',0
0006,'2_0_0','2_0',0
0006,2,3,0
0006,'3_0_0','3_0',0
0006,4,4,0
0007,'8_0_0','8_0',0
0007,'13_0_0','13_0',0
0007,'16_0_0','16_0',0
0007,3,28,0
0007,'10_0_0','10_0',0
0007,'5_0_0','5_0',0
0007,6,31,0
0007,'23_0_0','23_0',0
0007,'17_0_0','17_0',0
0007,9,34,0
0007,10,35,0
0007,11,36,0
0007,'18_0_0','18_0',0
0007,'14_0_0','14_0',0
0007,14,39,0
0007,'20_0_0','20_0',0
0007,'24_0_0','24_0',0
0007,17,42,0
0007,18,43,0
0007,19,44,0
0007,20,46,0
0007,'7_0_0','7_0',0
0007,'4_0_0','4_0',0
0007,23,24,0
0007,'22_0_0','22_0',0
0007,'15_0_0','15_0',0
0007,26,8,0
0007,'19_0_0','19_0',0
0007,28,10,0
0007,'25_0_0','25_0',0
0007,'21_0_0','21_0',0
0007,'11_0_0','11_0',0
0007,'9_0_0','9_0',0
0007,33,13,0
0007,34,15,0
0007,35,17,0
0007,36,20,0
0007,'12_0_0','12_0',0
0007,38,21,0
0007,39,25,0
0007,40,47,0
0007,'2_0_0','2_0',0
0007,'1_0_0','1_0',0
0007,43,3,0
0007,'3_0_0','3_0',0
0007,45,4,0
0007,46,48,0
0008,'20_0_0','20_0',0
0008,'24_0_0','24_0',0
0008,2,40,0
0008,'14_0_0','14_0',0
0008,'18_0_0','18_0',0
0008,5,37,0
0008,6,41,0
0008,'13_0_0','13_0',0
0008,'16_0_0','16_0',0
0008,9,26,0
0008,'23_0_0','23_0',0
0008,'17_0_0','17_0',0
0008,12,32,0
0008,'5_0_0','5_0',0
0008,14,33,0
0008,15,34,0
0008,16,42,0
0008,'8_0_0','8_0',0
0008,18,44,0
0008,'4_0_0','4_0',0
0008,'7_0_0','7_0',0
0008,21,22,0
0008,'12_0_0','12_0',0
0008,'6_0_0','6_0',0
