GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'3_0',0,Leaf,'3'
0001,'1_0',0,Leaf,'1'
0001,'2_0',0,Leaf,'2'
0001,3,0,Sp,3
0001,4,0,Sp,4
0001,'Lost-25_0',0,Loss,25
0001,'13_0',0,Leaf,'13'
0001,'13_1',1,Leaf,'13'
0001,8,0,Dup,'13'
0001,'16_0',0,Leaf,'16'
0001,10,0,Sp,28
0001,'Lost-31_0',0,Loss,31
0001,'23_0',0,Leaf,'23'
0001,'17_0',0,Leaf,'17'
0001,14,0,Sp,34
0001,'23_3',3,Leaf,'23'
0001,'17_3',3,Leaf,'17'
0001,17,3,Sp,34
0001,18,0,Dup,34
0001,'23_2',2,Leaf,'23'
0001,'17_2',2,Leaf,'17'
0001,21,2,Sp,34
0001,22,0,Dup,34
0001,23,0,Sp,35
0001,24,0,Sp,36
0001,'18_0',0,Leaf,'18'
0001,'14_0',0,Leaf,'14'
0001,27,0,Sp,39
0001,'Lost-39_5',5,Loss,39
0001,29,0,Dup,39
0001,'20_0',0,Leaf,'20'
0001,'24_0',0,Leaf,'24'
0001,32,0,Sp,42
0001,33,0,Sp,43
0001,'18_4',4,Leaf,'18'
0001,'14_4',4,Leaf,'14'
0001,36,4,Sp,39
0001,'Lost-40_4',4,Loss,40
0001,'24_4',4,Leaf,'24'
0001,39,4,Sp,42
0001,40,4,Sp,43
0001,41,0,Dup,43
0001,42,0,Sp,44
0001,'Lost-45_0',0,Loss,45
0001,44,0,Sp,46
0001,45,0,Sp,47
0001,46,0,Sp,48
0002,'Lost-4_0',0,Loss,4
0002,'Lost-4_1',1,Loss,4
0002,2,0,Dup,4
0002,'12_0',0,Leaf,'12'
0002,'12_4',4,Leaf,'12'
0002,5,0,Dup,'12'
0002,'Lost-10_0',0,Loss,10
0002,'Lost-17_0',0,Loss,17
0002,'6_0',0,Leaf,'6'
0002,'6_8',8,Leaf,'6'
0002,10,0,Dup,'6'
0002,'6_7',7,Leaf,'6'
0002,12,0,Dup,'6'
0002,13,0,Sp,19
0002,14,0,Sp,20
0002,15,0,Sp,21
0002,'Lost-24_0',0,Loss,24
0002,17,0,Sp,25
0002,'12_2',2,Leaf,'12'
0002,'12_5',5,Leaf,'12'
0002,20,2,Dup,'12'
0002,'Lost-10_2',2,Loss,10
0002,'9_2',2,Leaf,'9'
0002,'11_2',2,Leaf,'11'
0002,24,2,Sp,13
0002,'21_2',2,Leaf,'21'
0002,26,2,Sp,15
0002,'25_2',2,Leaf,'25'
0002,'25_6',6,Leaf,'25'
0002,29,2,Dup,'25'
0002,30,2,Sp,17
0002,'6_2',2,Leaf,'6'
0002,32,2,Sp,19
0002,33,2,Sp,20
0002,34,2,Sp,21
0002,'4_2',2,Leaf,'4'
0002,'7_2',2,Leaf,'7'
0002,'7_11',11,Leaf,'7'
0002,38,2,Dup,'7'
0002,39,2,Sp,24
0002,'4_9',9,Leaf,'4'
0002,'7_9',9,Leaf,'7'
0002,42,9,Sp,24
0002,'4_10',10,Leaf,'4'
0002,'Lost-23_10',10,Loss,23
0002,'7_12',12,Leaf,'7'
0002,46,10,Dup,'7'
0002,47,10,Sp,24
0002,48,9,Dup,24
0002,49,2,Dup,24
0002,50,2,Sp,25
0002,'Lost-5_3',3,Loss,5
0002,'Lost-10_3',3,Loss,10
0002,'9_3',3,Leaf,'9'
0002,'11_3',3,Leaf,'11'
0002,55,3,Sp,13
0002,'21_3',3,Leaf,'21'
0002,57,3,Sp,15
0002,'Lost-16_3',3,Loss,16
0002,59,3,Sp,17
0002,'6_3',3,Leaf,'6'
0002,61,3,Sp,19
0002,62,3,Sp,20
0002,63,3,Sp,21
0002,'Lost-24_3',3,Loss,24
0002,65,3,Sp,25
0002,66,2,Dup,25
0002,67,0,Dup,25
0002,'13_0',0,Leaf,'13'
0002,'Lost-26_15',15,Loss,26
0002,70,0,Dup,'13'
0002,'16_0',0,Leaf,'16'
0002,'16_16',16,Leaf,'16'
0002,73,0,Dup,'16'
0002,74,0,Sp,28
0002,'Lost-35_0',0,Loss,35
0002,76,0,Sp,36
0002,'Lost-39_0',0,Loss,39
0002,'20_0',0,Leaf,'20'
0002,'24_0',0,Leaf,'24'
0002,80,0,Sp,42
0002,81,0,Sp,43
0002,'Lost-43_19',19,Loss,43
0002,83,0,Dup,43
0002,84,0,Sp,44
0002,'8_0',0,Leaf,'8'
0002,'8_21',21,Leaf,'8'
0002,87,0,Dup,'8'
0002,88,0,Sp,46
0002,'13_14',14,Leaf,'13'
0002,'Lost-27_14',14,Loss,27
0002,'16_17',17,Leaf,'16'
0002,92,14,Dup,'16'
0002,93,14,Sp,28
0002,'Lost-29_14',14,Loss,29
0002,'5_18',18,Leaf,'5'
0002,96,14,Dup,'5'
0002,'Lost-30_14',14,Loss,30
0002,98,14,Sp,31
0002,'23_14',14,Leaf,'23'
