GENE,Gt_node,Lt_node,Lt_paralog
0001,'20_0_0','20_0',0
0001,'23_0_0','23_0',0
0001,'24_0_0','24_0',0
0001,3,39,0
0001,4,40,0
0001,'19_0_0','19_0',0
0001,6,43,0
0001,'11_0_0','11_0',0
0001,'15_0_0','15_0',0
0001,'10_0_0','10_0',0
0001,10,27,0
0001,'6_0_0','6_0',0
0001,'12_0_0','12_0',0
0001,13,30,0
0001,14,31,0
0001,'7_0_0','7_0',0
0001,'9_0_0','9_0',0
0001,17,24,0
0001,18,32,0
0001,19,33,0
0001,'18_0_0','18_0',0
0001,'3_0_0','3_0',0
0001,'14_0_0','14_0',0
0001,23,15,0
0001,'5_0_0','5_0',0
0001,25,16,0
0001,26,17,0
0001,'13_0_0','13_0',0
0001,'16_0_0','16_0',0
0001,29,4,0
0001,'2_0_0','2_0',0
0001,31,5,0
0001,'4_0_0','4_0',0
0001,33,9,0
0001,'8_0_0','8_0',0
0001,35,10,0
0001,36,18,0
0001,37,34,0
0001,38,44,0
0002,'11_0_0','11_0',0
0002,'15_2_0','15_2',2
0002,'10_2_0','10_2',2
0002,3,42,2
0002,'6_2_0','6_2',2
0002,'12_2_0','12_2',2
0002,6,45,2
0002,7,46,2
0002,'9_2_0','9_2',2
0002,'7_2_0','7_2',2
0002,10,39,2
0002,11,47,2
0002,'7_0_0','7_0',0
0002,'9_0_0','9_0',0
0002,14,26,0
0002,'10_0_0','10_0',0
0002,'15_0_0','15_0',0
0002,17,29,0
0002,'12_0_0','12_0',0
0002,'12_3_0','12_3',3
0002,20,32,0
0002,'6_0_0','6_0',0
0002,22,34,0
0002,23,35,0
0002,24,36,0
0002,25,48,0
0002,26,49,0
0002,'8_0_0','8_0',0
0002,'4_0_0','4_0',0
0002,'17_0_0','17_0',0
0002,'1_0_0','1_0',0
0002,31,8,0
0002,'16_0_0','16_0',0
0002,'13_0_0','13_0',0
0002,34,4,0
0002,'2_0_0','2_0',0
0002,36,5,0
0002,37,9,0
0002,38,11,0
0002,39,12,0
0002,'5_0_0','5_0',0
0002,'3_0_0','3_0',0
0002,'14_0_0','14_0',0
0002,43,19,0
0002,44,20,0
0002,'18_0_0','18_0',0
0002,'18_1_0','18_1',1
0002,47,15,0
0002,48,21,0
0002,49,22,0
0002,50,50,0
0002,'19_0_0','19_0',0
0002,'23_0_0','23_0',0
0002,'24_0_0','24_0',0
0002,54,59,0
0002,'20_0_0','20_0',0
0002,56,60,0
0002,'25_0_0','25_0',0
0002,'22_0_0','22_0',0
0002,59,54,0
0002,60,61,0
0002,61,63,0
0002,62,64,0
0003,'11_0_0','11_0',0
0003,'12_1_0','12_1',1
0003,'6_1_0','6_1',1
0003,3,35,1
0003,'15_1_0','15_1',1
0003,5,36,1
0003,'15_0_0','15_0',0
0003,'10_0_0','10_0',0
0003,8,27,0
0003,9,37,0
0003,'7_0_0','7_0',0
0003,'9_0_0','9_0',0
0003,12,24,0
0003,13,38,0
0003,14,39,0
0003,'5_0_0','5_0',0
0003,'3_0_0','3_0',0
0003,'14_0_0','14_0',0
0003,18,17,0
0003,19,18,0
0003,'18_0_0','18_0',0
0003,21,19,0
0003,'8_0_0','8_0',0
0003,'4_0_0','4_0',0
0003,'16_0_0','16_0',0
0003,'13_0_0','13_0',0
0003,26,4,0
0003,'2_0_0','2_0',0
0003,28,5,0
0003,'1_0_0','1_0',0
0003,'17_0_0','17_0',0
0003,31,8,0
0003,32,9,0
0003,33,11,0
0003,34,12,0
0003,35,20,0
0003,36,40,0
0003,'23_0_0','23_0',0
0003,'24_0_0','24_0',0
0003,39,47,0
0003,'20_0_0','20_0',0
0003,41,48,0
0003,'21_0_0','21_0',0
0003,43,49,0
0003,'19_0_0','19_0',0
0003,45,51,0
0003,'19_2_0','19_2',2
0003,'20_2_0','20_2',2
0003,'20_3_0','20_3',3
