DLRT,PSIZ,REPL,SQLN,NGEN,MTHD,SENL,SEI1,SEI2,SEFP,SEFN,SERF
0.0,50000000,06,25,25,split,25,22,22,3,3,0.136364
0.0,50000000,06,25,25,astral,25,22,22,3,3,0.136364
0.0,50000000,06,25,25,astrid,25,22,22,4,4,0.181818
0.0,50000000,07,25,25,split,25,22,22,3,3,0.136364
0.0,50000000,07,25,25,astral,25,22,22,3,3,0.136364
0.0,50000000,07,25,25,astrid,25,22,22,3,3,0.136364
0.0,50000000,08,25,25,split,25,22,22,3,3,0.136364
0.0,50000000,08,25,25,astral,25,22,22,3,3,0.136364
0.0,50000000,08,25,25,astrid,25,22,22,4,4,0.181818
0.0,50000000,09,25,25,split,25,22,22,4,4,0.181818
0.0,50000000,09,25,25,astral,25,22,22,4,4,0.181818
0.0,50000000,09,25,25,astrid,25,22,22,4,4,0.181818
0.0,50000000,10,25,25,split,25,22,22,6,6,0.272727
0.0,50000000,10,25,25,astral,25,22,22,6,6,0.272727
0.0,50000000,10,25,25,astrid,25,22,22,3,3,0.136364
0.0000000001,1000,01,25,25,split,25,22,22,3,3,0.136364
0.0000000001,1000,01,25,25,astral,25,22,22,3,3,0.136364
0.0000000001,1000,01,25,25,astrid,25,22,22,6,6,0.272727
0.0000000001,1000,02,25,25,split,25,22,22,4,4,0.181818
0.0000000001,1000,02,25,25,astral,25,22,22,5,5,0.227273
0.0000000001,1000,02,25,25,astrid,25,22,22,6,6,0.272727
0.0000000001,1000,03,25,25,split,25,22,22,3,3,0.136364
0.0000000001,1000,03,25,25,astral,25,22,22,3,3,0.136364
0.0000000001,1000,03,25,25,astrid,25,22,22,5,5,0.227273
0.0000000001,1000,04,25,25,split,25,22,22,1,1,0.045455
0.0000000001,1000,04,25,25,astral,25,22,22,4,4,0.181818
0.0000000001,1000,04,25,25,astrid,25,22,22,8,8,0.363636
0.0000000001,1000,05,25,25,split,25,22,22,7,7,0.318182
0.0000000001,1000,05,25,25,astral,25,22,22,10,10,0.454545
0.0000000001,1000,05,25,25,astrid,25,22,22,11,11,0.500000
0.0000000001,1000,06,25,25,split,25,22,22,5,5,0.227273
