GENE,Gt_node,Lt_node,Lt_paralog
0001,'3_0_0','3_0',0
0001,'1_0_0','1_0',0
0001,'11_0_0','11_0',0
0001,3,27,0
0001,'17_0_0','17_0',0
0001,5,28,0
0001,6,29,0
0001,'16_0_0','16_0',0
0001,'19_0_0','19_0',0
0001,9,32,0
0001,'10_0_0','10_0',0
0001,11,34,0
0001,12,35,0
0001,'18_0_0','18_0',0
0001,'14_0_0','14_0',0
0001,'6_0_0','6_0',0
0001,16,16,0
0001,'5_0_0','5_0',0
0001,'2_0_0','2_0',0
0001,19,13,0
0001,20,17,0
0001,'7_0_0','7_0',0
0001,'15_0_0','15_0',0
0001,23,10,0
0001,24,18,0
0001,25,19,0
0001,'12_0_0','12_0',0
0001,'13_0_0','13_0',0
0001,'4_0_0','4_0',0
0001,29,2,0
0001,'9_0_0','9_0',0
0001,31,4,0
0001,32,6,0
0001,33,20,0
0001,34,36,0
0001,'23_0_0','23_0',0
0001,'24_0_0','24_0',0
0001,'20_0_0','20_0',0
0001,'21_0_0','21_0',0
0001,'25_0_0','25_0',0
0001,40,41,0
0001,41,45,0
0001,42,46,0
0001,43,47,0
0001,44,48,0
0002,'8_0_0','8_0',0
0002,'7_0_0','7_0',0
0002,'15_0_0','15_0',0
0002,3,10,0
0002,'6_0_0','6_0',0
0002,'14_0_0','14_0',0
0002,6,16,0
0002,'2_0_0','2_0',0
0002,'5_0_0','5_0',0
0002,9,13,0
0002,10,17,0
0002,11,18,0
0002,'18_0_0','18_0',0
0002,13,19,0
0002,'4_0_0','4_0',0
0002,'13_0_0','13_0',0
0002,16,2,0
0002,'9_0_0','9_0',0
0002,18,4,0
0002,'12_0_0','12_0',0
0002,20,6,0
0002,21,20,0
0002,22,22,0
0002,'17_0_0','17_0',0
0002,'1_0_0','1_0',0
0002,'11_0_0','11_0',0
0002,26,27,0
0002,27,28,0
0002,'3_0_0','3_0',0
0002,29,29,0
0002,'10_0_0','10_0',0
0002,'19_0_0','19_0',0
0002,'16_0_0','16_0',0
0002,33,32,0
0002,34,34,0
0002,35,35,0
0002,36,36,0
0002,'24_0_0','24_0',0
0002,'22_0_0','22_0',0
0002,'21_0_0','21_0',0
0002,'21_1_0','21_1',1
0002,41,41,0
0002,'25_0_0','25_0',0
0002,43,43,0
0002,44,45,0
0002,'20_0_0','20_0',0
0002,46,47,0
0002,47,48,0
0002,'23_0_0','23_0',0
0002,49,49,0
0002,50,50,0
0003,'20_0_0','20_0',0
0003,'25_0_0','25_0',0
0003,'21_0_0','21_0',0
0003,3,41,0
0003,'22_0_0','22_0',0
0003,5,43,0
0003,6,45,0
0003,'24_0_0','24_0',0
0003,8,46,0
0003,'23_0_0','23_0',0
0003,10,47,0
0003,'17_0_0','17_0',0
0003,'11_0_0','11_0',0
0003,'1_0_0','1_0',0
0003,14,27,0
0003,15,28,0
0003,'3_0_0','3_0',0
0003,17,29,0
0003,'10_0_0','10_0',0
0003,'16_0_0','16_0',0
0003,'19_0_0','19_0',0
0003,21,32,0
0003,22,34,0
0003,23,35,0
0003,'18_0_0','18_0',0
0003,'7_0_0','7_0',0
0003,'15_0_0','15_0',0
0003,27,10,0
0003,'6_0_0','6_0',0
0003,'14_0_0','14_0',0
0003,30,16,0
0003,'5_0_0','5_0',0
0003,'2_0_0','2_0',0
0003,33,13,0
0003,34,17,0
0003,35,18,0
0003,36,19,0
0003,'12_0_0','12_0',0
0003,'9_0_0','9_0',0
0003,'4_0_0','4_0',0
0003,'13_0_0','13_0',0
0003,41,2,0
0003,42,4,0
0003,43,6,0
0003,44,20,0
0003,'8_0_0','8_0',0
0003,46,22,0
0003,47,36,0
0003,48,48,0
0004,'19_1_0','19_1',1
