GENE,Gt_node,Lt_node,Lt_paralog
0001,'1_0_0','1_0',0
0001,'2_0_0','2_0',0
0001,2,2,0
0001,'13_0_0','13_0',0
0001,'25_0_0','25_0',0
0001,'11_0_0','11_0',0
0001,6,37,0
0001,'3_0_0','3_0',0
0001,8,39,0
0001,'22_0_0','22_0',0
0001,'10_0_0','10_0',0
0001,11,34,0
0001,12,40,0
0001,'21_0_0','21_0',0
0001,'15_0_0','15_0',0
0001,15,43,0
0001,16,44,0
0001,'4_0_0','4_0',0
0001,'20_0_0','20_0',0
0001,'12_0_0','12_0',0
0001,20,13,0
0001,21,15,0
0001,'5_0_0','5_0',0
0001,'7_0_0','7_0',0
0001,'14_0_0','14_0',0
0001,25,23,0
0001,26,25,0
0001,'18_0_0','18_0',0
0001,'19_0_0','19_0',0
0001,29,28,0
0001,30,29,0
0001,'6_0_0','6_0',0
0001,'8_0_0','8_0',0
0001,'16_0_0','16_0',0
0001,34,18,0
0001,35,20,0
0001,36,30,0
0001,37,31,0
0001,38,45,0
0001,'24_0_0','24_0',0
0001,'9_0_0','9_0',0
0001,'23_0_0','23_0',0
0001,42,8,0
0001,'17_0_0','17_0',0
0001,44,9,0
0001,45,10,0
0001,46,46,0
0001,47,47,0
0001,48,48,0
0002,'13_0_0','13_0',0
0002,'6_0_0','6_0',0
0002,'16_0_0','16_0',0
0002,'8_0_0','8_0',0
0002,4,18,0
0002,5,20,0
0002,'19_0_0','19_0',0
0002,'18_0_0','18_0',0
0002,8,28,0
0002,'14_0_0','14_0',0
0002,'7_0_0','7_0',0
0002,11,23,0
0002,'5_0_0','5_0',0
0002,13,25,0
0002,14,29,0
0002,15,30,0
0002,'20_0_0','20_0',0
0002,'12_0_0','12_0',0
0002,18,13,0
0002,'4_0_0','4_0',0
0002,20,15,0
0002,21,31,0
0002,'22_0_0','22_0',0
0002,'10_0_0','10_0',0
0002,24,34,0
0002,'3_0_0','3_0',0
0002,'25_0_0','25_0',0
0002,'11_0_0','11_0',0
0002,28,37,0
0002,29,39,0
0002,30,40,0
0002,'15_0_0','15_0',0
0002,'21_0_0','21_0',0
0002,33,43,0
0002,34,44,0
0002,35,45,0
0002,'17_0_0','17_0',0
0002,'9_0_0','9_0',0
0002,'23_0_0','23_0',0
0002,39,8,0
0002,40,9,0
0002,'24_0_0','24_0',0
0002,42,10,0
0002,43,46,0
0002,44,47,0
0002,'2_0_0','2_0',0
0002,'1_0_0','1_0',0
0002,47,2,0
0002,48,48,0
0003,'24_0_0','24_0',0
0003,'23_0_0','23_0',0
0003,'9_0_0','9_0',0
0003,3,8,0
0003,'17_0_0','17_0',0
0003,5,9,0
0003,6,10,0
0003,'20_0_0','20_0',0
0003,'12_0_0','12_0',0
0003,9,13,0
0003,'4_0_0','4_0',0
0003,11,15,0
0003,'19_0_0','19_0',0
0003,'18_0_0','18_0',0
0003,14,28,0
0003,'5_0_0','5_0',0
0003,'14_0_0','14_0',0
0003,'7_0_0','7_0',0
0003,18,23,0
0003,19,25,0
0003,20,29,0
0003,'6_0_0','6_0',0
0003,'8_0_0','8_0',0
0003,'16_0_0','16_0',0
0003,24,18,0
0003,25,20,0
0003,26,30,0
0003,27,31,0
0003,'22_0_0','22_0',0
0003,'10_0_0','10_0',0
0003,30,34,0
0003,'25_0_0','25_0',0
0003,'11_0_0','11_0',0
0003,33,37,0
0003,'3_0_0','3_0',0
0003,35,39,0
0003,36,40,0
0003,'15_0_0','15_0',0
0003,'21_0_0','21_0',0
0003,39,43,0
0003,40,44,0
0003,41,45,0
0003,42,46,0
0003,'13_0_0','13_0',0
0003,44,47,0
0003,'1_0_0','1_0',0
0003,'2_0_0','2_0',0
0003,47,2,0
0003,48,48,0
0004,'22_0_0','22_0',0
0004,'10_0_0','10_0',0
0004,2,34,0
0004,'11_0_0','11_0',0
0004,'25_0_0','25_0',0
0004,5,37,0
0004,'3_0_0','3_0',0
0004,7,39,0
0004,8,40,0
0004,'15_0_0','15_0',0
0004,'21_0_0','21_0',0
0004,11,43,0
