GENE,Gt_node,Lt_node,Lt_paralog
0001,'7_0_0','7_0',0
0001,'18_0_0','18_0',0
0001,2,11,0
0001,'23_0_0','23_0',0
0001,'20_0_0','20_0',0
0001,'11_0_0','11_0',0
0001,6,3,0
0001,'14_0_0','14_0',0
0001,8,5,0
0001,9,7,0
0001,10,11,0
0001,'16_0_0','16_0',0
0001,'9_0_0','9_0',0
0001,'6_0_0','6_0',0
0001,14,15,0
0001,15,16,0
0001,16,17,0
0001,'16_2_0','16_2',2
0001,'16_1_0','16_1',1
0001,19,31,1
0001,'9_1_0','9_1',1
0001,'6_1_0','6_1',1
0001,22,34,1
0001,23,35,1
0001,'14_1_0','14_1',1
0001,'20_1_0','20_1',1
0001,'11_1_0','11_1',1
0001,27,22,1
0001,28,24,1
0001,'18_1_0','18_1',1
0001,30,28,1
0001,31,36,1
0001,32,37,0
0001,'10_0_0','10_0',0
0001,'22_0_0','22_0',0
0001,'19_0_0','19_0',0
0001,36,57,0
0001,37,59,0
0001,'24_0_0','24_0',0
0001,'25_0_0','25_0',0
0001,'12_0_0','12_0',0
0001,'15_0_0','15_0',0
0001,42,46,0
0001,'8_0_0','8_0',0
0001,44,48,0
0001,'13_0_0','13_0',0
0001,46,50,0
0001,47,51,0
0001,48,53,0
0001,'21_0_0','21_0',0
0001,'21_3_0','21_3',3
0001,51,40,0
0001,52,54,0
0001,53,60,0
0001,54,61,0
0002,'20_0_0','20_0',0
0002,'14_0_0','14_0',0
0002,'11_0_0','11_0',0
0002,3,15,0
0002,'23_0_0','23_0',0
0002,5,17,0
0002,6,17,0
0002,'18_0_0','18_0',0
0002,8,21,0
0002,'9_0_0','9_0',0
0002,'6_0_0','6_0',0
0002,11,25,0
0002,'16_0_0','16_0',0
0002,13,26,0
0002,14,27,0
0002,'5_0_0','5_0',0
0002,'5_2_0','5_2',2
0002,17,7,0
0002,'2_0_0','2_0',0
0002,19,8,0
0002,'1_0_0','1_0',0
0002,'1_1_0','1_1',1
0002,22,2,0
0002,23,10,0
0002,24,30,0
0003,'18_0_0','18_0',0
0003,'20_0_0','20_0',0
0003,'11_0_0','11_0',0
0003,3,7,0
0003,'14_0_0','14_0',0
0003,5,9,0
0003,'23_0_0','23_0',0
0003,7,9,0
0003,'7_0_0','7_0',0
0003,9,13,0
0003,10,13,0
0003,'16_0_0','16_0',0
0003,'9_0_0','9_0',0
0003,'6_0_0','6_0',0
0003,14,17,0
0003,15,18,0
0003,16,19,0
0004,'8_4_0','8_4',4
0004,'12_4_0','12_4',4
0004,'15_4_0','15_4',4
0004,3,52,4
0004,4,52,4
0004,'13_4_0','13_4',4
0004,6,54,4
0004,'25_4_0','25_4',4
0004,8,55,4
0004,'25_3_0','25_3',3
0004,'12_3_0','12_3',3
0004,'15_3_0','15_3',3
0004,'8_3_0','8_3',3
0004,13,43,3
0004,'13_3_0','13_3',3
0004,15,45,3
0004,16,45,3
0004,17,46,3
0004,18,56,3
0004,'24_3_0','24_3',3
0004,20,58,3
0004,'15_0_0','15_0',0
0004,'8_0_0','8_0',0
0004,'12_0_0','12_0',0
0004,24,32,0
0004,25,32,0
0004,'13_0_0','13_0',0
0004,27,34,0
0004,'25_0_0','25_0',0
0004,29,35,0
0004,'24_0_0','24_0',0
0004,31,37,0
0004,32,59,0
0004,'21_0_0','21_0',0
0004,'17_0_0','17_0',0
0004,35,26,0
0004,36,60,0
0004,'16_0_0','16_0',0
0004,'14_0_0','14_0',0
0004,'11_0_0','11_0',0
0004,40,13,0
0004,'20_0_0','20_0',0
0004,'23_0_0','23_0',0
0004,43,15,0
0004,44,15,0
0004,'18_0_0','18_0',0
0004,46,19,0
0004,47,23,0
0004,48,63,0
0004,'17_1_0','17_1',1
0004,'21_1_0','21_1',1
0004,51,101,1
0004,'24_1_0','24_1',1
0004,'13_1_0','13_1',1
0004,'25_1_0','25_1',1
0004,55,110,1
0004,'8_1_0','8_1',1
0004,'12_1_0','12_1',1
0004,58,107,1
0004,'15_1_0','15_1',1
0004,60,109,1
0004,61,110,1
0004,62,112,1
0004,63,113,1
0004,'10_1_0','10_1',1
0004,'19_1_0','19_1',1
0004,'22_1_0','22_1',1
0004,67,116,1
0004,68,118,1
0004,69,119,1
0004,'7_1_0','7_1',1
0004,'20_1_0','20_1',1
0004,'23_1_0','23_1',1
0004,'14_1_0','14_1',1
0004,74,70,1
0004,'11_1_0','11_1',1
0004,76,70,1
0004,77,70,1
0004,78,74,1
0004,'9_1_0','9_1',1
0004,'6_1_0','6_1',1
0004,81,78,1
0004,'16_1_0','16_1',1
0004,83,79,1
0004,84,80,1
0004,'16_2_0','16_2',2
0004,'9_2_0','9_2',2
0004,'6_2_0','6_2',2
0004,88,95,2
0004,89,96,2
0004,'18_2_0','18_2',2
