GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'11_0',0,Leaf,'11'
0001,'10_0',0,Leaf,'10'
0001,'3_0',0,Leaf,'3'
0001,3,0,Sp,3
0001,'6_0',0,Leaf,'6'
0001,5,0,Sp,5
0001,6,0,Sp,6
0001,'9_0',0,Leaf,'9'
0001,'8_0',0,Leaf,'8'
0001,9,0,Sp,9
0001,'4_0',0,Leaf,'4'
0001,11,0,Sp,11
0001,12,0,Sp,12
0001,'1_0',0,Leaf,'1'
0001,14,0,Sp,14
0001,'13_0',0,Leaf,'13'
0001,'7_0',0,Leaf,'7'
0001,17,0,Sp,17
0001,'12_0',0,Leaf,'12'
0001,19,0,Sp,19
0001,20,0,Sp,20
0001,'5_0',0,Leaf,'5'
0001,'5_1',1,Leaf,'5'
0001,23,0,Dup,'5'
0001,'2_0',0,Leaf,'2'
0001,25,0,Sp,23
0001,26,0,Sp,24
0001,'25_0',0,Leaf,'25'
0001,'23_0',0,Leaf,'23'
0001,29,0,Sp,27
0001,'18_0',0,Leaf,'18'
0001,'14_0',0,Leaf,'14'
0001,'16_0',0,Leaf,'16'
0001,33,0,Sp,31
0001,'22_0',0,Leaf,'22'
0001,'22_2',2,Leaf,'22'
0001,36,0,Dup,'22'
0001,37,0,Sp,33
0001,38,0,Sp,34
0001,'17_0',0,Leaf,'17'
0001,40,0,Sp,36
0001,41,0,Sp,37
0001,'Lost-44_0',0,Loss,44
0001,'20_0',0,Leaf,'20'
0001,'Lost-45_3',3,Loss,45
0001,'20_4',4,Leaf,'20'
0001,46,3,Dup,'20'
0001,47,0,Dup,'20'
0001,48,0,Sp,46
0001,49,0,Sp,47
0001,50,0,Sp,48
0002,'11_0',0,Leaf,'11'
0002,'10_0',0,Leaf,'10'
0002,'3_0',0,Leaf,'3'
0002,3,0,Sp,3
0002,'6_0',0,Leaf,'6'
0002,5,0,Sp,5
0002,6,0,Sp,6
0002,'Lost-7_0',0,Loss,7
0002,'8_0',0,Leaf,'8'
0002,9,0,Sp,9
0002,'4_0',0,Leaf,'4'
0002,11,0,Sp,11
0002,12,0,Sp,12
0002,'1_0',0,Leaf,'1'
0002,14,0,Sp,14
0002,'13_0',0,Leaf,'13'
0002,'7_0',0,Leaf,'7'
0002,17,0,Sp,17
0002,'12_0',0,Leaf,'12'
0002,19,0,Sp,19
0002,20,0,Sp,20
0002,'Lost-21_0',0,Loss,21
0002,'2_0',0,Leaf,'2'
0002,23,0,Sp,23
0002,'5_1',1,Leaf,'5'
0002,'2_1',1,Leaf,'2'
0002,26,1,Sp,23
0002,27,0,Dup,23
0002,28,0,Sp,24
0002,'25_0',0,Leaf,'25'
0002,'23_0',0,Leaf,'23'
0002,31,0,Sp,27
0002,'18_0',0,Leaf,'18'
0002,'14_0',0,Leaf,'14'
0002,'16_0',0,Leaf,'16'
0002,35,0,Sp,31
