GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'Lost-4_0',0,Loss,4
0001,'7_0',0,Leaf,'7'
0001,2,0,Sp,6
0001,'4_0',0,Leaf,'4'
0001,'1_0',0,Leaf,'1'
0001,5,0,Sp,9
0001,'3_0',0,Leaf,'3'
0001,'6_0',0,Leaf,'6'
0001,8,0,Sp,12
0001,9,0,Sp,13
0001,10,0,Sp,14
0001,'25_0',0,Leaf,'25'
0001,'23_0',0,Leaf,'23'
0001,13,0,Sp,17
0001,'Lost-18_0',0,Loss,18
0001,15,0,Sp,19
0001,'17_0',0,Leaf,'17'
0001,'12_0',0,Leaf,'12'
0001,'15_0',0,Leaf,'15'
0001,19,0,Sp,23
0001,20,0,Sp,24
0001,'22_0',0,Leaf,'22'
0001,'18_0',0,Leaf,'18'
0001,23,0,Sp,27
0001,'10_0',0,Leaf,'10'
0001,'24_0',0,Leaf,'24'
0001,26,0,Sp,30
0001,27,0,Sp,31
0001,'20_0',0,Leaf,'20'
0001,'19_0',0,Leaf,'19'
0001,30,0,Sp,34
0001,'11_0',0,Leaf,'11'
0001,32,0,Sp,36
0001,33,0,Sp,37
0001,'Lost-40_0',0,Loss,40
0001,35,0,Sp,41
0001,36,0,Sp,42
0001,'14_0',0,Leaf,'14'
0001,'13_0',0,Leaf,'13'
0001,39,0,Sp,45
0001,40,0,Sp,46
0001,41,0,Sp,47
0001,42,0,Sp,48
0002,'8_0',0,Leaf,'8'
0002,'5_0',0,Leaf,'5'
0002,2,0,Sp,2
0002,'2_0',0,Leaf,'2'
0002,4,0,Sp,4
0002,'Lost-5_0',0,Loss,5
0002,6,0,Sp,6
0002,'4_0',0,Leaf,'4'
0002,'1_0',0,Leaf,'1'
0002,9,0,Sp,9
0002,'3_0',0,Leaf,'3'
0002,'Lost-11_0',0,Loss,11
0002,12,0,Sp,12
0002,13,0,Sp,13
0002,14,0,Sp,14
0002,'Lost-19_0',0,Loss,19
0002,'17_0',0,Leaf,'17'
0002,'12_0',0,Leaf,'12'
0002,'15_0',0,Leaf,'15'
0002,19,0,Sp,23
0002,20,0,Sp,24
0002,'Lost-37_0',0,Loss,37
0002,'9_0',0,Leaf,'9'
0002,'21_0',0,Leaf,'21'
0002,24,0,Sp,40
0002,25,0,Sp,41
0002,26,0,Sp,42
0002,'14_0',0,Leaf,'14'
0002,'13_0',0,Leaf,'13'
0002,29,0,Sp,45
0002,30,0,Sp,46
0002,31,0,Sp,47
0002,32,0,Sp,48
0003,'8_0',0,Leaf,'8'
0003,'5_0',0,Leaf,'5'
0003,2,0,Sp,2
0003,'2_0',0,Leaf,'2'
0003,4,0,Sp,4
0003,'7_0',0,Leaf,'7'
0003,6,0,Sp,6
0003,'Lost-7_0',0,Loss,7
0003,'1_0',0,Leaf,'1'
0003,9,0,Sp,9
0003,'3_0',0,Leaf,'3'
0003,'6_0',0,Leaf,'6'
0003,12,0,Sp,12
0003,13,0,Sp,13
0003,14,0,Sp,14
0003,'Lost-4_1',1,Loss,4
0003,'7_1',1,Leaf,'7'
0003,17,1,Sp,6
0003,'Lost-13_1',1,Loss,13
0003,19,1,Sp,14
0003,20,0,Dup,14
0003,'Lost-47_0',0,Loss,47
0003,22,0,Sp,48
0004,'Lost-14_0',0,Loss,14
0004,'25_0',0,Leaf,'25'
0004,'23_0',0,Leaf,'23'
0004,3,0,Sp,17
0004,'16_0',0,Leaf,'16'
0004,5,0,Sp,19
0004,'17_0',0,Leaf,'17'
0004,'12_0',0,Leaf,'12'
0004,'15_0',0,Leaf,'15'
0004,9,0,Sp,23
0004,10,0,Sp,24
0004,'22_0',0,Leaf,'22'
0004,'18_0',0,Leaf,'18'
0004,13,0,Sp,27
0004,'10_0',0,Leaf,'10'
0004,'24_0',0,Leaf,'24'
0004,16,0,Sp,30
0004,17,0,Sp,31
0004,'20_0',0,Leaf,'20'
0004,'19_0',0,Leaf,'19'
0004,20,0,Sp,34
0004,'11_0',0,Leaf,'11'
0004,22,0,Sp,36
0004,23,0,Sp,37
0004,'Lost-38_0',0,Loss,38
0004,'Lost-39_0',0,Loss,39
0004,26,0,Sp,40
0004,'9_1',1,Leaf,'9'
0004,'21_1',1,Leaf,'21'
0004,29,1,Sp,40
0004,30,0,Dup,40
0004,31,0,Sp,41
0004,32,0,Sp,42
0004,'14_0',0,Leaf,'14'
0004,'Lost-44_0',0,Loss,44
0004,35,0,Sp,45
0004,36,0,Sp,46
0004,37,0,Sp,47
0004,38,0,Sp,48
0005,'8_0',0,Leaf,'8'
0005,'5_0',0,Leaf,'5'
0005,2,0,Sp,2
0005,'8_1',1,Leaf,'8'
0005,'5_1',1,Leaf,'5'
0005,5,1,Sp,2
0005,6,0,Dup,2
0005,'2_0',0,Leaf,'2'
0005,8,0,Sp,4
0005,'7_0',0,Leaf,'7'
0005,10,0,Sp,6
0005,'4_0',0,Leaf,'4'
0005,'1_0',0,Leaf,'1'
0005,13,0,Sp,9
0005,'3_0',0,Leaf,'3'
0005,'6_0',0,Leaf,'6'
0005,16,0,Sp,12
0005,17,0,Sp,13
0005,'4_2',2,Leaf,'4'
0005,'1_2',2,Leaf,'1'
0005,20,2,Sp,9
0005,'3_2',2,Leaf,'3'
0005,'Lost-10_3',3,Loss,10
0005,23,2,Dup,'3'
0005,'6_2',2,Leaf,'6'
0005,25,2,Sp,12
0005,26,2,Sp,13
0005,27,0,Dup,13
0005,28,0,Sp,14
0005,'25_0',0,Leaf,'25'
0005,'23_0',0,Leaf,'23'
0005,31,0,Sp,17
0005,'25_4',4,Leaf,'25'
0005,'23_4',4,Leaf,'23'
0005,34,4,Sp,17
0005,35,0,Dup,17
0005,'Lost-18_0',0,Loss,18
0005,37,0,Sp,19
0005,'17_0',0,Leaf,'17'
0005,'12_0',0,Leaf,'12'
0005,'15_0',0,Leaf,'15'
0005,41,0,Sp,23
0005,42,0,Sp,24
0005,'22_0',0,Leaf,'22'
0005,'18_0',0,Leaf,'18'
0005,45,0,Sp,27
0005,'10_0',0,Leaf,'10'
0005,'24_0',0,Leaf,'24'
0005,48,0,Sp,30
0005,49,0,Sp,31
0005,'20_0',0,Leaf,'20'
0005,'19_0',0,Leaf,'19'
0005,52,0,Sp,34
0005,'11_0',0,Leaf,'11'
0005,54,0,Sp,36
0005,55,0,Sp,37
0005,'9_0',0,Leaf,'9'
0005,'21_0',0,Leaf,'21'
0005,58,0,Sp,40
0005,59,0,Sp,41
0005,60,0,Sp,42
0005,'14_0',0,Leaf,'14'
0005,'13_0',0,Leaf,'13'
0005,63,0,Sp,45
0005,64,0,Sp,46
0005,65,0,Sp,47
0005,66,0,Sp,48
0006,'Lost-4_0',0,Loss,4
0006,'7_0',0,Leaf,'7'
0006,2,0,Sp,6
0006,'4_0',0,Leaf,'4'
0006,'1_0',0,Leaf,'1'
0006,5,0,Sp,9
0006,'3_0',0,Leaf,'3'
0006,'6_0',0,Leaf,'6'
0006,8,0,Sp,12
0006,9,0,Sp,13
0006,10,0,Sp,14
0006,'Lost-17_0',0,Loss,17
0006,'Lost-18_0',0,Loss,18
0006,13,0,Sp,19
0006,'17_0',0,Leaf,'17'
0006,'Lost-23_0',0,Loss,23
0006,16,0,Sp,24
0006,'22_0',0,Leaf,'22'
0006,'18_0',0,Leaf,'18'
0006,19,0,Sp,27
0006,'10_0',0,Leaf,'10'
0006,'24_0',0,Leaf,'24'
0006,22,0,Sp,30
0006,23,0,Sp,31
0006,'Lost-25_1',1,Loss,25
0006,'18_1',1,Leaf,'18'
0006,26,1,Sp,27
0006,'10_1',1,Leaf,'10'
0006,'24_1',1,Leaf,'24'
0006,'24_2',2,Leaf,'24'
0006,30,1,Dup,'24'
0006,31,1,Sp,30
0006,32,1,Sp,31
0006,33,0,Dup,31
0006,'Lost-36_0',0,Loss,36
0006,35,0,Sp,37
0006,'9_0',0,Leaf,'9'
0006,'21_0',0,Leaf,'21'
0006,38,0,Sp,40
0006,39,0,Sp,41
0006,40,0,Sp,42
0006,'Lost-45_0',0,Loss,45
0006,42,0,Sp,46
0006,43,0,Sp,47
0006,44,0,Sp,48
0007,'8_0',0,Leaf,'8'
0007,'5_0',0,Leaf,'5'
0007,2,0,Sp,2
0007,'2_0',0,Leaf,'2'
0007,4,0,Sp,4
0007,'7_0',0,Leaf,'7'
0007,6,0,Sp,6
0007,'4_0',0,Leaf,'4'
0007,'1_0',0,Leaf,'1'
0007,9,0,Sp,9
0007,'3_0',0,Leaf,'3'
0007,'6_0',0,Leaf,'6'
0007,12,0,Sp,12
0007,13,0,Sp,13
0007,14,0,Sp,14
0007,'25_0',0,Leaf,'25'
0007,'23_0',0,Leaf,'23'
0007,17,0,Sp,17
0007,'16_0',0,Leaf,'16'
0007,19,0,Sp,19
0007,'Lost-42_0',0,Loss,42
0007,'14_0',0,Leaf,'14'
0007,'13_0',0,Leaf,'13'
0007,23,0,Sp,45
0007,24,0,Sp,46
0007,25,0,Sp,47
0007,26,0,Sp,48
0008,'8_0',0,Leaf,'8'
0008,'Lost-1_0',0,Loss,1
0008,2,0,Sp,2
0008,'2_0',0,Leaf,'2'
0008,4,0,Sp,4
0008,'8_1',1,Leaf,'8'
0008,'5_1',1,Leaf,'5'
0008,7,1,Sp,2
0008,'8_2',2,Leaf,'8'
0008,'5_2',2,Leaf,'5'
0008,10,2,Sp,2
0008,11,1,Dup,2
0008,'2_1',1,Leaf,'2'
0008,13,1,Sp,4
0008,14,0,Dup,4
0008,'7_0',0,Leaf,'7'
0008,16,0,Sp,6
0008,'4_0',0,Leaf,'4'
0008,'1_0',0,Leaf,'1'
0008,19,0,Sp,9
0008,'3_0',0,Leaf,'3'
0008,'6_0',0,Leaf,'6'
0008,22,0,Sp,12
0008,23,0,Sp,13
0008,24,0,Sp,14
0008,'25_0',0,Leaf,'25'
0008,'23_0',0,Leaf,'23'
0008,27,0,Sp,17
0008,'16_0',0,Leaf,'16'
0008,29,0,Sp,19
0008,'17_0',0,Leaf,'17'
0008,'12_0',0,Leaf,'12'
0008,'15_0',0,Leaf,'15'
0008,33,0,Sp,23
0008,34,0,Sp,24
0008,'17_3',3,Leaf,'17'
0008,'Lost-20_4',4,Loss,20
0008,37,3,Dup,'17'
0008,'12_3',3,Leaf,'12'
0008,'15_3',3,Leaf,'15'
0008,40,3,Sp,23
0008,41,3,Sp,24
0008,42,0,Dup,24
0008,'22_0',0,Leaf,'22'
0008,'18_0',0,Leaf,'18'
0008,45,0,Sp,27
0008,'Lost-28_0',0,Loss,28
0008,'24_0',0,Leaf,'24'
0008,48,0,Sp,30
0008,49,0,Sp,31
0008,'20_0',0,Leaf,'20'
0008,'19_0',0,Leaf,'19'
0008,52,0,Sp,34
0008,'11_0',0,Leaf,'11'
0008,54,0,Sp,36
0008,55,0,Sp,37
0008,'9_0',0,Leaf,'9'
0008,'21_0',0,Leaf,'21'
0008,58,0,Sp,40
0008,'9_6',6,Leaf,'9'
0008,'21_6',6,Leaf,'21'
0008,61,6,Sp,40
0008,62,0,Dup,40
0008,'9_5',5,Leaf,'9'
0008,'21_5',5,Leaf,'21'
0008,65,5,Sp,40
0008,66,0,Dup,40
0008,67,0,Sp,41
0008,68,0,Sp,42
0008,'14_0',0,Leaf,'14'
0008,'13_0',0,Leaf,'13'
0008,71,0,Sp,45
0008,72,0,Sp,46
0008,73,0,Sp,47
0008,74,0,Sp,48
0009,'Lost-4_0',0,Loss,4
0009,'7_0',0,Leaf,'7'
0009,2,0,Sp,6
0009,'4_0',0,Leaf,'4'
0009,'1_0',0,Leaf,'1'
0009,5,0,Sp,9
0009,'3_0',0,Leaf,'3'
0009,'6_0',0,Leaf,'6'
0009,8,0,Sp,12
0009,9,0,Sp,13
0009,10,0,Sp,14
0009,'25_0',0,Leaf,'25'
0009,'23_0',0,Leaf,'23'
0009,13,0,Sp,17
0009,'Lost-18_0',0,Loss,18
0009,15,0,Sp,19
0009,'Lost-24_0',0,Loss,24
0009,'22_0',0,Leaf,'22'
0009,'18_0',0,Leaf,'18'
0009,19,0,Sp,27
0009,'10_0',0,Leaf,'10'
0009,'24_0',0,Leaf,'24'
0009,22,0,Sp,30
0009,23,0,Sp,31
0009,'20_0',0,Leaf,'20'
0009,'19_0',0,Leaf,'19'
0009,26,0,Sp,34
0009,'11_0',0,Leaf,'11'
0009,28,0,Sp,36
0009,29,0,Sp,37
0009,'9_0',0,Leaf,'9'
0009,'21_0',0,Leaf,'21'
0009,32,0,Sp,40
0009,33,0,Sp,41
0009,34,0,Sp,42
0009,'14_0',0,Leaf,'14'
0009,'13_0',0,Leaf,'13'
0009,37,0,Sp,45
0009,'14_1',1,Leaf,'14'
0009,'13_1',1,Leaf,'13'
0009,40,1,Sp,45
0009,41,0,Dup,45
0009,42,0,Sp,46
0009,43,0,Sp,47
0009,44,0,Sp,48
0010,'Lost-14_0',0,Loss,14
0010,'Lost-14_2',2,Loss,14
0010,2,0,Dup,14
0010,'8_1',1,Leaf,'8'
0010,'5_1',1,Leaf,'5'
0010,5,1,Sp,2
0010,'2_1',1,Leaf,'2'
0010,7,1,Sp,4
0010,'7_1',1,Leaf,'7'
0010,9,1,Sp,6
0010,'4_1',1,Leaf,'4'
0010,'1_1',1,Leaf,'1'
0010,12,1,Sp,9
0010,'3_1',1,Leaf,'3'
0010,'6_1',1,Leaf,'6'
0010,15,1,Sp,12
0010,16,1,Sp,13
0010,'4_3',3,Leaf,'4'
0010,'1_3',3,Leaf,'1'
0010,19,3,Sp,9
0010,'3_3',3,Leaf,'3'
0010,'6_3',3,Leaf,'6'
0010,22,3,Sp,12
0010,23,3,Sp,13
0010,'Lost-7_4',4,Loss,7
0010,'1_4',4,Leaf,'1'
0010,26,4,Sp,9
0010,'Lost-10_4',4,Loss,10
0010,'6_4',4,Leaf,'6'
0010,29,4,Sp,12
0010,30,4,Sp,13
0010,31,3,Dup,13
0010,32,1,Dup,13
0010,33,1,Sp,14
0010,34,0,Dup,14
0010,'Lost-19_0',0,Loss,19
0010,'Lost-24_0',0,Loss,24
0010,'22_0',0,Leaf,'22'
0010,'Lost-26_0',0,Loss,26
0010,39,0,Sp,27
0010,'10_0',0,Leaf,'10'
0010,'Lost-29_0',0,Loss,29
0010,42,0,Sp,30
0010,43,0,Sp,31
0010,'20_0',0,Leaf,'20'
0010,'19_0',0,Leaf,'19'
0010,46,0,Sp,34
0010,'11_0',0,Leaf,'11'
0010,48,0,Sp,36
0010,49,0,Sp,37
0010,'9_0',0,Leaf,'9'
0010,'21_0',0,Leaf,'21'
0010,52,0,Sp,40
0010,53,0,Sp,41
0010,54,0,Sp,42
0010,'14_0',0,Leaf,'14'
0010,'13_0',0,Leaf,'13'
0010,57,0,Sp,45
0010,58,0,Sp,46
0010,59,0,Sp,47
0010,60,0,Sp,48
0011,'Lost-14_0',0,Loss,14
0011,'Lost-19_0',0,Loss,19
0011,'17_0',0,Leaf,'17'
