GENE,Gt_node,Lt_node,Lt_paralog
0001,'22_0_0','22_0',0
0001,'11_0_0','11_0',0
0001,2,22,0
0001,'18_0_0','18_0',0
0001,'14_0_0','14_0',0
0001,5,19,0
0001,6,23,0
0001,'23_0_0','23_0',0
0001,'15_0_0','15_0',0
0001,9,26,0
0001,10,27,0
0001,'17_0_0','17_0',0
0001,'21_0_0','21_0',0
0001,13,31,0
0001,14,32,0
0001,'10_0_0','10_0',0
0001,'13_0_0','13_0',0
0001,'19_0_0','19_0',0
0001,'19_1_0','19_1',1
0001,19,10,0
0001,'16_0_0','16_0',0
0001,21,11,0
0001,22,13,0
0001,'20_0_0','20_0',0
0001,'25_0_0','25_0',0
0001,25,4,0
0001,'12_0_0','12_0',0
0001,27,6,0
0001,28,14,0
0001,29,15,0
0001,30,33,0
0002,'4_1_0','4_1',1
0002,'6_1_0','6_1',1
0002,2,18,1
0002,'4_2_0','4_2',2
0002,'6_2_0','6_2',2
0002,5,21,2
0002,6,22,1
0002,'6_0_0','6_0',0
0002,'4_0_0','4_0',0
0002,9,15,0
0002,10,23,0
0002,'5_0_0','5_0',0
0002,'3_0_0','3_0',0
0002,'2_0_0','2_0',0
0002,'8_0_0','8_0',0
0002,15,5,0
0002,16,6,0
0002,'1_0_0','1_0',0
0002,18,8,0
0002,'9_0_0','9_0',0
0002,20,9,0
0002,21,12,0
0002,22,24,0
0002,'21_0_0','21_0',0
0002,'17_0_0','17_0',0
0002,25,57,0
0002,'24_0_0','24_0',0
0002,'24_4_0','24_4',4
0002,28,40,0
0002,'24_3_0','24_3',3
0002,30,42,0
0002,'22_0_0','22_0',0
0002,'11_0_0','11_0',0
0002,33,48,0
0002,'18_0_0','18_0',0
0002,'14_0_0','14_0',0
0002,36,45,0
0002,37,49,0
0002,'15_0_0','15_0',0
0002,'23_0_0','23_0',0
0002,40,52,0
0002,41,53,0
0002,42,54,0
0002,43,58,0
0002,'19_0_0','19_0',0
0002,'16_0_0','16_0',0
0002,46,33,0
0002,'13_0_0','13_0',0
0002,48,35,0
0002,'20_0_0','20_0',0
0002,'25_0_0','25_0',0
0002,51,28,0
0002,'12_0_0','12_0',0
0002,53,30,0
0002,54,36,0
0002,'10_0_0','10_0',0
0002,56,37,0
0002,57,59,0
0002,58,60,0
0003,'4_0_0','4_0',0
0003,'6_0_0','6_0',0
0003,2,31,0
0003,'7_0_0','7_0',0
0003,'1_4_0','1_4',4
0003,'1_2_0','1_2',2
0003,6,20,2
0003,'1_3_0','1_3',3
0003,8,22,2
0003,'2_2_0','2_2',2
0003,'8_2_0','8_2',2
0003,11,16,2
0003,'3_2_0','3_2',2
0003,13,17,2
0003,14,23,2
0003,'9_2_0','9_2',2
0003,16,24,2
0003,'8_0_0','8_0',0
0003,'2_0_0','2_0',0
0003,19,7,0
0003,'3_0_0','3_0',0
0003,21,8,0
0003,'1_0_0','1_0',0
0003,23,10,0
0003,'9_0_0','9_0',0
0003,25,11,0
0003,26,25,0
0003,27,27,0
0003,'5_1_0','5_1',1
0003,'5_0_0','5_0',0
0003,30,2,0
0003,31,28,0
0003,32,32,0
0003,'19_0_0','19_0',0
0003,'16_0_0','16_0',0
0003,35,41,0
0003,'19_5_0','19_5',5
0003,'16_5_0','16_5',5
0003,38,44,5
0003,39,45,0
0003,'12_0_0','12_0',0
0003,'20_0_0','20_0',0
0003,'25_0_0','25_0',0
0003,43,36,0
0003,44,38,0
0003,45,48,0
0003,'10_0_0','10_0',0
0003,47,49,0
0003,'17_0_0','17_0',0
0003,'21_0_0','21_0',0
0003,50,55,0
0003,51,57,0
0003,52,58,0
0004,'17_0_0','17_0',0
0004,'21_0_0','21_0',0
0004,2,57,0
0004,'14_0_0','14_0',0
0004,'18_0_0','18_0',0
0004,5,47,0
0004,'11_0_0','11_0',0
0004,'22_0_0','22_0',0
0004,8,50,0
0004,9,51,0
0004,10,58,0
0004,'10_0_0','10_0',0
0004,'16_0_0','16_0',0
0004,'19_0_0','19_0',0
0004,14,39,0
0004,'13_0_0','13_0',0
0004,16,41,0
0004,'12_0_0','12_0',0
0004,'25_0_0','25_0',0
0004,'20_0_0','20_0',0
0004,20,34,0
0004,21,36,0
0004,22,42,0
0004,23,43,0
0004,24,59,0
0004,'4_0_0','4_0',0
0004,'6_0_0','6_0',0
0004,27,29,0
0004,'3_0_0','3_0',0
0004,'8_0_0','8_0',0
0004,'2_0_0','2_0',0
0004,31,9,0
0004,32,10,0
0004,'1_0_0','1_0',0
0004,34,12,0
0004,'9_0_0','9_0',0
0004,36,13,0
0004,'9_3_0','9_3',3
0004,'1_3_0','1_3',3
0004,'8_3_0','8_3',3
0004,'2_3_0','2_3',3
0004,41,18,3
0004,'3_3_0','3_3',3
0004,43,19,3
0004,44,21,3
0004,45,22,3
0004,46,23,0
0004,'7_0_0','7_0',0
0004,48,25,0
0004,'5_2_0','5_2',2
0004,'5_0_0','5_0',0
0004,51,2,0
0004,'5_1_0','5_1',1
0004,53,4,0
0004,54,26,0
0004,55,30,0
0004,56,60,0
0005,'10_0_0','10_0',0
0005,'19_0_0','19_0',0
0005,'16_0_0','16_0',0
0005,3,27,0
0005,'13_0_0','13_0',0
0005,5,29,0
0005,'25_0_0','25_0',0
0005,'20_0_0','20_0',0
0005,8,20,0
0005,'12_0_0','12_0',0
0005,10,22,0
0005,11,30,0
0005,12,31,0
