GENE,Gt_node,Lt_node,Lt_paralog
0001,'25_0_0','25_0',0
0001,'24_0_0','24_0',0
0001,'21_0_0','21_0',0
0001,'22_0_0','22_0',0
0001,4,78,0
0001,5,79,0
0001,6,81,0
0001,'23_0_0','23_0',0
0001,8,83,0
0001,'17_0_0','17_0',0
0001,'9_0_0','9_0',0
0001,'15_0_0','15_0',0
0001,12,63,0
0001,13,65,0
0001,'19_0_0','19_0',0
0001,'20_0_0','20_0',0
0001,16,68,0
0001,'16_0_0','16_0',0
0001,'13_0_0','13_0',0
0001,19,71,0
0001,20,72,0
0001,21,73,0
0001,'18_0_0','18_0',0
0001,'8_0_0','8_0',0
0001,24,17,0
0001,'5_0_0','5_0',0
0001,26,21,0
0001,'2_0_0','2_0',0
0001,'1_0_0','1_0',0
0001,'3_0_0','3_0',0
0001,30,2,0
0001,31,4,0
0001,'2_2_0','2_2',2
0001,'3_2_0','3_2',2
0001,'1_3_0','1_3',3
0001,'1_2_0','1_2',2
0001,36,7,2
0001,37,9,2
0001,38,11,2
0001,39,12,0
0001,'10_0_0','10_0',0
0001,41,14,0
0001,42,22,0
0001,'8_1_0','8_1',1
0001,'18_1_0','18_1',1
0001,45,26,1
0001,'8_4_0','8_4',4
0001,'18_4_0','18_4',4
0001,48,29,4
0001,49,30,1
0001,'5_1_0','5_1',1
0001,'7_1_0','7_1',1
0001,'12_1_0','12_1',1
0001,'14_1_0','14_1',1
0001,54,34,1
0001,55,36,1
0001,'11_1_0','11_1',1
0001,'6_1_0','6_1',1
0001,58,40,1
0001,'4_1_0','4_1',1
0001,60,41,1
0001,61,42,1
0001,62,43,1
0001,'5_5_0','5_5',5
0001,'4_5_0','4_5',5
0001,'11_5_0','11_5',5
0001,'6_5_0','6_5',5
0001,67,53,5
0001,68,54,5
0001,'7_5_0','7_5',5
0001,'14_5_0','14_5',5
0001,'12_5_0','12_5',5
0001,72,47,5
0001,73,49,5
0001,74,55,5
0001,75,56,5
0001,76,57,1
0001,77,58,1
0001,78,60,0
0001,79,74,0
0001,80,84,0
0002,'23_3_0','23_3',3
0002,'24_3_0','24_3',3
0002,'22_3_0','22_3',3
0002,'21_3_0','21_3',3
0002,4,47,3
0002,5,48,3
0002,'25_3_0','25_3',3
0002,7,50,3
0002,8,52,3
0002,'25_4_0','25_4',4
0002,'25_0_0','25_0',0
0002,11,40,0
0002,'24_0_0','24_0',0
0002,'21_0_0','21_0',0
0002,'22_0_0','22_0',0
0002,15,36,0
0002,16,37,0
0002,17,41,0
0002,'23_0_0','23_0',0
0002,19,43,0
0002,20,53,0
0002,'17_0_0','17_0',0
0002,'4_0_0','4_0',0
0002,'6_0_0','6_0',0
0002,'11_0_0','11_0',0
0002,25,21,0
0002,26,22,0
0002,'14_0_0','14_0',0
0002,'7_0_0','7_0',0
0002,29,17,0
0002,30,23,0
0002,'5_0_0','5_0',0
0002,32,24,0
0002,'18_2_0','18_2',2
0002,'8_0_0','8_0',0
0002,'18_0_0','18_0',0
0002,36,3,0
0002,37,7,0
0002,'18_1_0','18_1',1
0002,'8_1_0','8_1',1
0002,40,10,1
0002,41,11,0
0002,42,25,0
0002,43,32,0
0002,44,54,0
0003,'25_0_0','25_0',0
0003,'24_0_0','24_0',0
0003,'21_0_0','21_0',0
0003,'22_0_0','22_0',0
0003,4,56,0
0003,5,57,0
0003,6,59,0
0003,'23_0_0','23_0',0
0003,8,63,0
0003,'17_0_0','17_0',0
0003,'15_3_0','15_3',3
0003,'15_0_0','15_0',0
0003,12,30,0
0003,'9_0_0','9_0',0
0003,14,31,0
0003,15,35,0
0003,'16_0_0','16_0',0
0003,'13_0_0','13_0',0
0003,18,41,0
0003,'20_0_0','20_0',0
0003,'19_0_0','19_0',0
0003,21,38,0
0003,22,42,0
0003,'20_4_0','20_4',4
0003,'13_4_0','13_4',4
0003,25,49,4
0003,26,50,0
0003,27,51,0
0003,'11_0_0','11_0',0
0003,'6_0_0','6_0',0
0003,30,21,0
0003,'4_0_0','4_0',0
0003,32,22,0
0003,'12_0_0','12_0',0
0003,'14_0_0','14_0',0
0003,35,15,0
0003,'7_0_0','7_0',0
0003,37,17,0
0003,38,23,0
0003,'5_0_0','5_0',0
0003,40,24,0
0003,'18_0_0','18_0',0
0003,'18_1_0','18_1',1
0003,43,10,0
0003,'8_0_0','8_0',0
0003,45,11,0
0003,46,25,0
0003,'10_0_0','10_0',0
0003,'2_0_0','2_0',0
0003,'1_0_0','1_0',0
0003,'3_0_0','3_0',0
0003,51,2,0
0003,52,4,0
0003,53,6,0
0003,54,26,0
0003,55,52,0
0003,56,64,0
0004,'17_0_0','17_0',0
0004,'17_2_0','17_2',2
0004,2,30,0
0004,'17_1_0','17_1',1
0004,4,32,0
0004,'15_0_0','15_0',0
0004,'9_0_0','9_0',0
0004,7,27,0
0004,8,33,0
0004,'8_0_0','8_0',0
0004,'18_0_0','18_0',0
0004,11,9,0
0004,'5_0_0','5_0',0
0004,'6_0_0','6_0',0
0004,'11_0_0','11_0',0
0004,15,19,0
0004,'14_0_0','14_0',0
0004,'12_0_0','12_0',0
0004,18,13,0
0004,'7_0_0','7_0',0
0004,20,15,0
0004,21,21,0
0004,22,22,0
0004,23,23,0
0004,'10_0_0','10_0',0
0004,'1_0_0','1_0',0
0004,'3_0_0','3_0',0
0004,27,2,0
0004,'2_0_0','2_0',0
0004,29,4,0
0004,30,6,0
0004,31,24,0
0004,32,36,0
0005,'13_0_0','13_0',0
0005,'16_0_0','16_0',0
0005,2,45,0
0005,'19_0_0','19_0',0
0005,'20_0_0','20_0',0
0005,5,42,0
0005,6,46,0
0005,'19_3_0','19_3',3
0005,'20_3_0','20_3',3
0005,9,49,3
0005,'13_3_0','13_3',3
0005,'16_3_0','16_3',3
0005,12,52,3
0005,13,53,3
0005,14,56,0
0005,'17_0_0','17_0',0
0005,'9_0_0','9_0',0
0005,'15_0_0','15_0',0
0005,18,37,0
0005,19,39,0
0005,20,57,0
0005,'5_1_0','5_1',1
0005,'5_2_0','5_2',2
0005,23,19,1
0005,'4_1_0','4_1',1
0005,'11_1_0','11_1',1
0005,'6_1_0','6_1',1
0005,27,28,1
0005,28,29,1
0005,'14_1_0','14_1',1
0005,'12_1_0','12_1',1
0005,31,22,1
0005,'7_1_0','7_1',1
0005,33,24,1
0005,34,30,1
0005,35,31,1
0005,'14_0_0','14_0',0
0005,'12_0_0','12_0',0
0005,38,11,0
0005,'7_0_0','7_0',0
0005,40,13,0
0005,'5_0_0','5_0',0
0005,42,16,0
0005,43,32,0
0005,'3_0_0','3_0',0
0005,'1_0_0','1_0',0
0005,46,2,0
