GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'Lost-4_0',0,Loss,4
0001,'Lost-4_1',1,Loss,4
0001,2,0,Dup,4
0001,'Lost-7_0',0,Loss,7
0001,4,0,Sp,8
0001,'Lost-11_0',0,Loss,11
0001,'16_0',0,Leaf,'16'
0001,'10_0',0,Leaf,'10'
0001,'20_0',0,Leaf,'20'
0001,9,0,Sp,15
0001,10,0,Sp,16
0001,'21_0',0,Leaf,'21'
0001,12,0,Sp,18
0001,'19_0',0,Leaf,'19'
0001,'6_0',0,Leaf,'6'
0001,15,0,Sp,21
0001,'Lost-22_0',0,Loss,22
0001,17,0,Sp,23
0001,18,0,Sp,24
0001,'16_2',2,Leaf,'16'
0001,'10_2',2,Leaf,'10'
0001,'20_2',2,Leaf,'20'
0001,22,2,Sp,15
0001,23,2,Sp,16
0001,'21_2',2,Leaf,'21'
0001,'21_6',6,Leaf,'21'
0001,26,2,Dup,'21'
0001,27,2,Sp,18
0001,'19_2',2,Leaf,'19'
0001,'19_7',7,Leaf,'19'
0001,30,2,Dup,'19'
0001,'6_2',2,Leaf,'6'
0001,32,2,Sp,21
0001,'9_2',2,Leaf,'9'
0001,34,2,Sp,23
0001,35,2,Sp,24
0001,'16_3',3,Leaf,'16'
0001,'16_5',5,Leaf,'16'
0001,38,3,Dup,'16'
0001,'10_3',3,Leaf,'10'
0001,'20_3',3,Leaf,'20'
0001,41,3,Sp,15
0001,42,3,Sp,16
0001,'16_4',4,Leaf,'16'
0001,'10_4',4,Leaf,'10'
0001,'20_4',4,Leaf,'20'
0001,46,4,Sp,15
0001,47,4,Sp,16
0001,48,3,Dup,16
0001,'Lost-17_3',3,Loss,17
0001,50,3,Sp,18
0001,'19_3',3,Leaf,'19'
0001,'19_8',8,Leaf,'19'
0001,53,3,Dup,'19'
0001,'6_3',3,Leaf,'6'
0001,55,3,Sp,21
0001,'9_3',3,Leaf,'9'
0001,57,3,Sp,23
0001,58,3,Sp,24
0001,59,2,Dup,24
0001,60,0,Dup,24
0001,61,0,Sp,25
0001,'Lost-46_0',0,Loss,46
0001,63,0,Sp,47
0001,64,0,Sp,48
0002,'3_0',0,Leaf,'3'
0002,'4_0',0,Leaf,'4'
0002,2,0,Sp,2
0002,'2_0',0,Leaf,'2'
0002,4,0,Sp,4
0002,'5_0',0,Leaf,'5'
0002,'1_0',0,Leaf,'1'
0002,7,0,Sp,7
